Date,Open,High,Low,Close ,Adj Close ,Volume
2/27/2026,227.47,228.8,224.91,227.53,227.53,"6,278,100"
2/26/2026,230.38,230.66,225.67,229.41,229.41,"4,613,300"
2/25/2026,234.1,234.16,229.19,230.36,230.36,"4,442,600"
2/24/2026,229.27,236.13,228.39,233.39,233.39,"4,408,900"
2/23/2026,231.5,233.5,227.46,230.44,230.44,"5,380,000"
2/20/2026,232.63,236.08,231.14,232.03,232.03,"5,460,900"
2/19/2026,238.91,240,233.42,233.71,233.71,"5,827,500"
2/18/2026,244.55,245.08,238.6,238.93,238.93,"4,923,000"
2/17/2026,243.61,245.42,238.93,244.04,244.04,"4,864,700"
2/13/2026,241.24,246.51,240.72,242.96,242.96,"6,835,400"
2/12/2026,239.26,245.67,235.97,239.35,239.35,"6,980,800"
2/11/2026,244.48,244.7,235.5,236.26,236.26,"5,791,000"
2/10/2026,245,247.86,240.86,242.59,242.59,"5,184,400"
2/9/2026,242,245.84,240.5,244.71,244.71,"4,707,200"
2/6/2026,239.4,246.3,239.4,243.03,243.03,"6,701,200"
2/5/2026,234.11,240.33,232.6,236.95,236.95,"7,377,300"
2/4/2026,233.24,236.57,229.91,235.95,235.95,"7,053,400"
2/3/2026,236.42,238.85,228.96,233.15,233.15,"7,655,200"
2/2/2026,232.64,236.29,230.33,233.02,233.02,"6,105,300"
1/30/2026,233.5,234.65,229.94,233.72,233.72,"6,916,100"
1/29/2026,242.08,243.77,233.35,234.04,234.04,"9,142,500"
1/28/2026,244.09,245.86,237.1,241.59,241.59,"9,999,200"
1/27/2026,242.5,254.35,238.75,244.56,244.56,"20,509,200"
1/26/2026,251.49,251.59,247.41,248.43,248.43,"8,469,200"
1/23/2026,252.74,253.77,249.02,252.15,252.15,"7,078,700"
1/22/2026,252,254.14,249.78,251.41,251.41,"9,742,600"
1/21/2026,248.89,251.31,244.68,250.07,250.07,"8,160,700"
1/20/2026,244.4,249.52,243.7,249,249,"11,293,200"
1/16/2026,247.75,248.19,244.96,247.68,247.68,"5,944,200"
1/15/2026,244.38,248.75,243.97,247.74,247.74,"6,517,200"
1/14/2026,244.44,244.89,239.6,242.61,242.61,"7,748,600"
1/13/2026,241.12,247.4,240.1,244.55,244.55,"11,460,500"
1/12/2026,234.29,239.95,234,239.81,239.81,"7,894,000"
1/9/2026,228.34,235.14,228.3,234.53,234.53,"8,621,600"
1/8/2026,231.79,233.11,225.1,227.38,227.38,"7,126,800"
1/7/2026,232.15,233.57,227.31,228.12,228.12,"9,693,100"
1/6/2026,229.23,231.64,228.6,229.84,229.84,"6,714,300"
1/5/2026,228.79,230.96,227.5,228.13,228.13,"8,278,800"
1/2/2026,218.15,227.77,215.24,227.77,227.77,"11,261,000"
12/31/2025,218.93,219.32,216.14,217.12,217.12,"5,563,000"
12/30/2025,219.14,221.88,218.4,218.5,218.5,"5,653,500"
12/29/2025,215.9,218.14,215.11,217.25,217.25,"5,292,000"
12/26/2025,218.05,218.67,216.14,216.44,216.44,"2,801,500"
12/24/2025,217,219.27,216.19,218.16,218.16,"2,943,500"
12/23/2025,216.9,217.56,215.32,216.85,216.85,"4,496,300"
12/22/2025,215.34,217.15,214.22,216.84,216.84,"5,458,900"
12/19/2025,209.76,215.98,209.27,214.08,214.08,"14,793,700"
12/18/2025,207.99,210.55,207.66,208.27,208.27,"5,652,100"
12/17/2025,206.78,210.66,205.82,206.33,206.33,"7,301,100"
12/16/2025,205,208.65,204.39,206.71,206.71,"6,120,200"
12/15/2025,204.38,206.63,203.17,205.5,205.5,"6,721,600"
12/12/2025,202.2,206.12,201.58,204.38,204.38,"7,069,700"
12/11/2025,198.73,201.86,198.05,200.71,200.71,"7,917,800"
12/10/2025,200.37,201.35,198.35,198.72,198.72,"15,159,600"
12/9/2025,205.35,207.1,200.02,200.37,200.37,"9,101,900"
12/8/2025,203.61,206.86,202.56,206.27,206.27,"8,823,900"
12/5/2025,201.4,202.95,200.56,201.89,201.89,"6,857,200"
12/4/2025,202.85,202.89,198.53,201.87,201.87,"9,513,300"
12/3/2025,204.6,205.85,197.4,202.54,202.54,"14,139,900"
12/2/2025,198.3,205.78,195.51,205.38,205.38,"22,624,000"
12/1/2025,188.96,189.95,186.41,186.46,186.46,"6,763,700"
11/28/2025,187.87,189.75,186.91,189,189,"3,757,000"
11/26/2025,184,188.18,183.03,186.92,186.92,"7,644,500"
11/25/2025,179.49,183.48,177.52,182.44,182.44,"9,676,200"
11/24/2025,180.31,180.31,177.3,179.12,179.12,"9,386,000"
11/21/2025,180.56,181.43,176.77,179.7,179.7,"10,134,000"
11/20/2025,187.74,188.1,178.42,179.38,179.38,"13,706,400"
11/19/2025,189.21,189.21,183.01,185.7,185.7,"12,550,400"
11/18/2025,190,191.16,187.85,189.63,189.63,"8,195,800"
11/17/2025,194.84,194.84,190.23,191.81,191.81,"5,877,800"
11/14/2025,192.88,197.03,192.15,194.52,194.52,"6,189,800"
11/13/2025,195.63,196.2,193.11,194.58,194.58,"6,739,300"
11/12/2025,195.75,196.66,193.8,195.5,195.5,"8,288,300"
11/11/2025,194.74,196.4,194.35,195.21,195.21,"5,783,400"
11/10/2025,195.89,196.44,193.19,194.81,194.81,"7,447,400"
11/7/2025,195.5,195.85,191.49,194.61,194.61,"7,869,500"
11/6/2025,198.1,201.27,195.45,196.5,196.5,"7,740,500"
11/5/2025,197.75,198.51,195.31,197.62,197.62,"9,885,700"
11/4/2025,201.8,202.22,197.57,198.05,198.05,"8,619,600"
11/3/2025,202.04,205.66,201.58,204.55,204.55,"8,103,900"
10/31/2025,201.25,202.6,198.3,201.02,201.02,"10,696,600"
10/30/2025,210.01,210.28,200.02,200.08,200.08,"19,417,000"
10/29/2025,221.36,221.9,212.5,213.58,213.58,"20,940,100"
10/28/2025,224.36,225.56,222.6,223.33,223.33,"7,027,200"
10/27/2025,222.78,223.58,221.82,223,223,"6,084,300"
10/24/2025,219.04,221.74,218.51,221.35,221.35,"5,238,100"
10/23/2025,216.4,219.3,216.25,217.77,217.77,"5,356,200"
10/22/2025,216.68,217.4,213.8,216.59,216.59,"6,310,300"
10/21/2025,217.21,217.7,215.55,217.26,217.26,"4,209,500"
10/20/2025,215.13,217.38,214.56,216.82,216.82,"5,865,100"
10/17/2025,210.91,214.68,210.75,212.94,212.94,"6,482,700"
