Date,Open,High,Low,Close ,Adj Close ,Volume
2/27/2026,186,187.55,183.77,186.76,186.76,"12,035,500"
2/26/2026,182.9,186.26,181.76,184.16,184.16,"7,133,800"
2/25/2026,185.84,185.98,182.51,184.22,184.22,"9,440,700"
2/24/2026,185.29,185.96,183.85,185.34,185.34,"7,451,800"
2/23/2026,184.67,186.63,184.05,184.91,184.91,"7,047,200"
2/20/2026,184.59,184.89,182.32,183.93,183.93,"9,566,200"
2/19/2026,185.29,187.9,184.74,184.78,184.78,"10,773,300"
2/18/2026,183.23,183.92,181.98,183.87,183.87,"10,313,400"
2/17/2026,183.3,183.8,178.74,180.55,180.55,"9,849,000"
2/13/2026,182.54,184.84,181.72,183.74,181.96,"9,034,700"
2/12/2026,185.8,185.8,182.09,182.4,180.63,"9,673,700"
2/11/2026,183.94,186.52,183.55,185.82,184.02,"10,502,100"
2/10/2026,182.73,182.95,180.86,182.26,180.49,"7,458,200"
2/9/2026,181.01,182.82,179.95,182.6,180.83,"12,021,300"
2/6/2026,180.3,182.1,179.51,180.86,179.11,"9,901,800"
2/5/2026,179.64,180.46,177.41,179.23,177.49,"10,474,100"
2/4/2026,178.88,182.59,178.88,181.23,179.47,"16,170,500"
2/3/2026,173.88,178.82,173.75,178.04,176.32,"18,425,400"
2/2/2026,173.44,176.27,172.65,174.03,172.34,"14,235,300"
1/30/2026,172.62,177.3,171.27,176.9,175.19,"22,946,600"
1/29/2026,172.65,174.92,171.04,171.19,169.53,"16,786,600"
1/28/2026,169.96,170.42,168.2,169.93,168.28,"9,200,200"
1/27/2026,167.77,169.35,166.65,169.05,167.41,"9,784,900"
1/26/2026,168.33,168.41,166.77,167.5,165.88,"8,912,600"
1/23/2026,167.95,168.44,166.44,166.72,165.1,"8,368,700"
1/22/2026,166.26,167.56,165.73,166.66,165.05,"8,957,400"
1/21/2026,167,168.48,166.06,166.73,165.11,"10,918,500"
1/20/2026,166.71,167.65,165.15,165.3,163.7,"11,142,500"
1/16/2026,166.59,167.29,165.81,166.26,164.65,"9,745,800"
1/15/2026,165.77,167.33,165.1,166.16,164.55,"8,097,400"
1/14/2026,164.1,169.37,164.1,167.24,165.62,"16,414,900"
1/13/2026,163.47,166.13,163.3,163.87,162.28,"12,068,600"
1/12/2026,162.7,163.56,160.71,162.34,160.77,"9,796,800"
1/9/2026,160.56,162.7,159.94,162.11,160.54,"12,549,600"
1/8/2026,155.5,160.44,155.21,159.25,157.71,"12,929,600"
1/7/2026,157.44,158.01,154.9,155.2,153.7,"13,537,900"
1/6/2026,164.88,165.05,156.11,156.54,155.02,"20,564,900"
1/5/2026,165.75,165.75,159.31,163.85,162.26,"35,094,900"
1/2/2026,152.17,155.9,151.25,155.9,154.39,"6,862,100"
12/31/2025,152.39,152.55,151.67,152.41,150.93,"4,953,100"
12/30/2025,151.5,152.67,151.47,152.31,150.83,"5,150,500"
12/29/2025,151,151.64,150.09,150.99,149.53,"5,589,100"
12/26/2025,150.38,151.14,149.65,150.02,148.57,"3,706,900"
12/24/2025,150.38,150.99,150.1,150.5,149.04,"2,227,600"
