Date,Open,High,Low,Close,Adj Close,Volume
2/27/2026,"6,856.54","6,882.96","6,831.74","6,878.88","6,878.88","6,665,660,000"
2/26/2026,"6,944.74","6,947.25","6,859.73","6,908.86","6,908.86","5,889,550,000"
2/25/2026,"6,915.15","6,952.51","6,915.15","6,946.13","6,946.13","5,328,060,000"
2/24/2026,"6,837.37","6,899.17","6,815.43","6,890.07","6,890.07","5,266,090,000"
2/23/2026,"6,901.25","6,916.96","6,819.82","6,837.75","6,837.75","5,638,350,000"
2/20/2026,"6,843.26","6,915.86","6,836.33","6,909.51","6,909.51","5,432,480,000"
2/19/2026,"6,861.34","6,879.12","6,833.06","6,861.89","6,861.89","5,151,690,000"
2/18/2026,"6,855.48","6,909.12","6,849.86","6,881.31","6,881.31","5,098,160,000"
2/17/2026,"6,819.86","6,866.99","6,775.50","6,843.22","6,843.22","5,418,480,000"
2/13/2026,"6,834.27","6,881.96","6,794.55","6,836.17","6,836.17","5,718,360,000"
2/12/2026,"6,957.54","6,973.22","6,824.04","6,832.76","6,832.76","7,118,700,000"
2/11/2026,"6,976.48","6,993.48","6,911.97","6,941.47","6,941.47","6,175,510,000"
2/10/2026,"6,974.49","6,986.83","6,937.53","6,941.81","6,941.81","5,595,950,000"
2/9/2026,"6,917.26","6,980.10","6,905.87","6,964.82","6,964.82","5,850,260,000"
2/6/2026,"6,816.74","6,944.89","6,816.74","6,932.30","6,932.30","6,283,680,000"
2/5/2026,"6,837.39","6,880.14","6,780.13","6,798.40","6,798.40","6,989,120,000"
2/4/2026,"6,924.50","6,936.09","6,838.80","6,882.72","6,882.72","7,475,750,000"
2/3/2026,"6,986.45","6,993.08","6,862.05","6,917.81","6,917.81","7,017,660,000"
2/2/2026,"6,916.64","6,991.92","6,914.34","6,976.44","6,976.44","5,772,050,000"
1/30/2026,"6,947.27","6,964.09","6,893.48","6,939.03","6,939.03","6,697,340,000"
1/29/2026,"6,977.74","6,992.84","6,870.80","6,969.01","6,969.01","6,877,780,000"
1/28/2026,"7,002.00","7,002.28","6,963.46","6,978.03","6,978.03","5,507,670,000"
1/27/2026,"6,965.96","6,988.82","6,958.83","6,978.60","6,978.40","5,331,720,000"
1/26/2026,"6,923.23","6,964.68","6,921.60","6,950.23","6,950.23","4,968,050,000"
1/23/2026,"6,907.85","6,932.98","6,895.50","6,915.81","6,915.61","4,871,930,000"
1/22/2026,"6,914.44","6,934.75","6,893.62","6,913.35","6,913.35","5,307,580,000"
1/21/2026,"6,810.71","6,910.39","6,804.96","6,875.62","6,875.62","5,835,520,000"
1/20/2026,"6,886.24","6,871.17","6,789.05","6,796.86","6,796.86","5,769,500,000"
1/16/2026,"6,960.54","6,967.30","6,925.09","6,940.01","6,940.01","5,356,550,000"
1/15/2026,"6,969.46","6,979.34","6,937.93","6,944.47","6,944.47","5,114,050,000"
