Date,Open,High,Low,Close ,Adj Close ,Volume
2/27/2026,912,916.25,854.15,859.57,855.07,"5,552,300"
2/26/2026,927.76,938.39,921.54,929,924.14,"2,220,300"
2/25/2026,914.72,922.51,907.52,921.38,916.56,"1,763,600"
2/24/2026,885.44,911.77,881.65,902.27,897.55,"1,971,500"
2/23/2026,918.5,932,883.75,892.31,887.64,"2,535,900"
2/20/2026,912.55,922.37,900.57,922.24,917.41,"2,009,100"
2/19/2026,925,929.66,906.49,916.65,911.85,"1,974,200"
2/18/2026,921.58,947.7,919.98,933.73,928.84,"1,864,900"
2/17/2026,907.73,921.55,905.68,916.04,911.24,"2,008,500"
2/13/2026,894.41,905.99,869,905.14,900.4,"2,623,000"
2/12/2026,956.17,968.39,903.98,904.55,899.81,"3,188,700"
2/11/2026,950.64,968.13,931.28,944.59,939.64,"2,654,300"
2/10/2026,945.7,961.83,929.93,948.99,944.02,"3,324,900"
2/9/2026,929,949,927.11,943.62,938.68,"2,322,600"
2/6/2026,907.87,931.77,907.23,928.75,923.89,"2,473,200"
2/5/2026,901.67,910.83,876.72,890.41,885.75,"3,214,300"
2/4/2026,937.12,944.16,893.8,913.3,908.52,"3,561,900"
2/3/2026,949.5,964.5,919.06,938.99,934.07,"2,321,900"
2/2/2026,932.13,949.44,912.08,946.33,941.38,"1,802,000"
1/30/2026,933.95,947,923.17,935.41,930.51,"1,893,700"
1/29/2026,937.3,955.38,925.13,940.12,935.2,"2,335,400"
1/28/2026,932.51,937.17,922.76,936.81,931.91,"1,674,100"
1/27/2026,924,933.4,920.39,929.72,924.85,"2,012,500"
1/26/2026,918.41,933.74,917.98,931.86,926.98,"2,655,900"
1/23/2026,934.08,937.19,917.05,918.88,914.07,"3,872,600"
1/22/2026,960.06,970.95,950.81,954.65,949.65,"2,468,300"
1/21/2026,944,968.92,943.45,953.01,948.02,"2,251,300"
1/20/2026,946.38,962.6,939.1,943.37,938.43,"2,629,100"
1/16/2026,973,984.7,957,962,956.96,"3,071,600"
1/15/2026,924.9,981.26,924.67,975.86,970.75,"3,773,700"
1/14/2026,932.3,938.15,917.9,932.67,927.79,"2,513,000"
1/13/2026,947.32,949.94,931,938.15,933.24,"1,969,600"
1/12/2026,934,950.56,929.11,949.55,944.58,"2,179,600"
1/9/2026,938.77,946.14,932.7,938.98,934.06,"1,334,100"
1/8/2026,935.48,945.19,932,934.83,929.94,"1,960,800"
1/7/2026,956.88,958.25,934,941.02,936.09,"2,683,300"
1/6/2026,949.41,958.57,943.25,955.47,950.47,"1,966,000"
1/5/2026,914.4,961.69,912.6,948.44,943.47,"3,742,000"
1/2/2026,884,914.44,880.75,914.34,909.55,"2,817,600"
12/31/2025,884.1,886,876.79,879,874.4,"1,221,500"
12/30/2025,894.74,895.02,881.18,884.42,879.79,"1,833,300"
12/29/2025,906.45,906.48,891.56,892.18,887.51,"1,578,000"
12/26/2025,911,913.32,905.31,907.04,902.29,"995,300"
12/24/2025,901.16,911.88,898.7,910.78,906.01,"771,800"
12/23/2025,900.35,905.92,893.7,901.71,896.99,"1,210,200"
12/22/2025,896.52,905.48,894.84,899,894.29,"1,442,300"
12/19/2025,883.17,899.75,881.95,893.48,888.8,"4,808,300"
12/18/2025,880.5,892.79,874.7,876.3,871.71,"2,066,300"
12/17/2025,886.33,895.97,868.44,872.33,867.76,"2,213,300"
12/16/2025,890.23,896.24,874.32,879.15,874.55,"2,161,600"
