Date,Open,High,Low,Close,Volume
12/31/2025,23420.85,23445.26,23237.78,23241.99,3776432762
12/30/2025,23465.67,23521.05,23414.83,23419.08,4003491230
12/29/2025,23414.68,23531.02,23397.52,23474.35,3763538267
12/26/2025,23645.91,23665.15,23567.86,23593.1,2853380457
12/24/2025,23555.95,23621.72,23527.97,23613.31,2665885033
12/23/2025,23407.7,23563.46,23377.49,23561.84,4801446774
12/22/2025,23450.53,23476.5,23362.93,23428.83,4859832804
12/19/2025,23121.9,23307.91,23106.19,23307.62,10108790411
12/18/2025,23012.06,23149.61,22906.23,23006.36,5628990235
12/17/2025,23135.61,23159.2,22692,22693.32,5846777569
12/16/2025,22981.82,23162.6,22920.66,23111.46,5279390481
12/15/2025,23330.04,23345.56,23012,23057.41,5662188774
12/12/2025,23488.87,23554.89,23094.51,23195.17,5786802731
12/11/2025,23509.22,23606.7,23308.95,23593.86,5251097445
12/10/2025,23536,23704.08,23435.17,23654.15,5453182634
12/9/2025,23504.61,23616.46,23449.73,23576.49,4834458466
12/8/2025,23638.22,23698.93,23455.04,23545.9,5082483453
12/5/2025,23567.77,23680.03,23506,23578.13,4957215727
12/4/2025,23527.29,23528.53,23372.33,23505.14,4927846343
12/3/2025,23315.58,23499.93,23271.83,23454.09,5371207062
12/2/2025,23379.75,23526.23,23286.46,23413.67,4962369504
12/1/2025,23172.34,23363.85,23110.21,23275.92,5206785691
11/28/2025,23291.59,23365.79,23250.51,23365.69,3130875617
11/26/2025,23163.19,23280.58,23074.39,23214.69,5060629963
11/25/2025,22802.85,23070.09,22587.11,23025.59,5033640431
11/24/2025,22482.16,22916.4,22478.27,22872.01,6199772370
11/21/2025,22162.83,22531.84,21898.29,22273.08,6374618925
11/20/2025,23057,23147.33,22043.2,22078.05,6736740006
11/19/2025,22459.27,22821.24,22385.22,22564.23,5569111646
11/18/2025,22565.9,22643.01,22231.15,22432.85,5341657682
11/17/2025,22788.32,23044.55,22559.51,22708.07,5941918748
11/14/2025,22544.72,23073.18,22436.79,22900.59,5475972331
11/13/2025,23262.64,23264.27,22796.07,22870.36,6479104041
11/12/2025,23563.84,23564.09,23278.3,23406.46,6374385546
11/11/2025,23407.72,23508.44,23315.28,23468.3,5298091039
11/10/2025,23354.85,23569.62,23290.05,23527.17,6016222007
11/7/2025,22892.92,23009.91,22563.42,23004.54,6758855506
11/6/2025,23461.29,23469.55,23011.06,23053.99,7782537364
11/5/2025,23358.07,23636.53,23286.87,23499.8,6330309519
11/4/2025,23458.21,23644.15,23333.32,23348.64,6243853566
11/3/2025,23951.91,23976.84,23764.87,23834.72,7298022386
10/31/2025,23941.78,23946.23,23628.82,23724.96,5787478857
10/30/2025,23793.08,23846.13,23578.47,23581.14,6413617497
10/29/2025,23987.29,24019.99,23763.99,23958.47,6913540100
10/28/2025,23766.46,23901.36,23675.19,23827.49,6417460153
10/27/2025,23537.32,23658.66,23493.96,23637.46,6113727627
10/24/2025,23143.23,23261.26,23127.96,23204.87,6415515773
10/23/2025,22751.33,22983.46,22732.18,22941.8,5656010724
10/22/2025,22940.79,22978.4,22514.08,22740.4,6286785887
10/21/2025,22984.55,23010.35,22894.42,22953.67,6153758184
10/20/2025,22844.82,23031.87,22841,22990.54,5918691482
10/17/2025,22489.81,22736.01,22396.65,22679.97,6328446567
10/16/2025,22764.4,22886.87,22404.69,22562.54,7027834408
10/15/2025,22738.5,22841.69,22427.79,22670.08,7831694555
10/14/2025,22388.04,22691.07,22213.73,22521.7,6612820155
10/13/2025,22578.67,22718.75,22499.49,22694.61,5795254471
10/10/2025,23043.52,23119.91,22193.07,22204.43,7239104694
10/9/2025,23045.33,23062.62,22899.16,23024.63,6380184580
10/8/2025,22852.32,23045.14,22845.42,23043.38,6936019050
10/7/2025,22972.37,23006.07,22718.76,22788.36,6563317410
10/6/2025,22894.35,22991.71,22827.56,22941.67,7255989396
10/3/2025,22886.16,22925.43,22695.82,22780.51,6744668842
10/2/2025,22885.9,22900.6,22729.75,22844.05,5905547396
10/1/2025,22530.95,22782.58,22516.74,22755.16,6175747900
9/30/2025,22580.36,22671.39,22493.96,22660.01,5696095451
9/29/2025,22605.3,22704.9,22536.05,22591.15,6465837854
9/26/2025,22403.27,22488.18,22285.44,22484.07,5122235515
9/25/2025,22318.77,22456.78,22185.87,22384.7,6474060479
9/24/2025,22656.02,22657.45,22397,22497.86,5950616461
9/23/2025,22782.72,22785.13,22539.04,22573.47,6331228522
9/22/2025,22606.59,22801.9,22590.86,22788.98,6697692969
9/19/2025,22554.31,22645.11,22497.71,22631.48,9498467593
9/18/2025,22439.11,22540.93,22358.48,22470.72,7339677388
9/17/2025,22333.02,22339.54,22058.92,22261.33,6475912554
9/16/2025,22397.5,22397.5,22308.78,22333.96,6285421198
9/15/2025,22243.2,22352.25,22233,22348.75,5843817283
9/12/2025,22078.63,22182.34,22031.62,22141.1,6012790800
9/11/2025,21977.52,22059.71,21908.81,22043.07,6297457652
9/10/2025,21980.6,22000.97,21810.84,21886.06,5683620451
9/9/2025,21858.17,21891.42,21731.48,21879.49,5086349292
9/8/2025,21806.23,21885.62,21776.25,21798.7,5808921508
9/5/2025,21860.44,21878.81,21534.72,21700.39,5985028577
9/4/2025,21539.91,21711.96,21469.4,21707.69,5214189529
9/3/2025,21461.63,21553.98,21370.98,21497.73,5517781314
9/2/2025,21086.57,21293.69,21033.05,21279.63,5221495094
8/29/2025,21630.33,21631.15,21397.98,21455.55,5244386300
8/28/2025,21619.27,21742.46,21534.94,21705.16,4884774558
8/27/2025,21526.33,21616.17,21476.3,21590.14,5231016461
8/26/2025,21443.63,21550.93,21389.11,21544.27,6523291637
8/25/2025,21466.47,21572.18,21400.09,21449.29,6078975920
8/22/2025,21139.83,21545.43,21092.36,21496.54,6816905618
8/21/2025,21112.52,21198.76,21013.53,21100.31,4732398858
8/20/2025,21269.67,21269.67,20905.99,21172.86,5104713432
8/19/2025,21607.45,21610.24,21277.71,21314.95,5235118328
8/18/2025,21616.82,21651.5,21559.33,21629.77,5791469647
8/15/2025,21709.34,21716.18,21567.46,21622.98,5908840682
8/14/2025,21649.21,21766.29,21627.13,21710.67,6675179315
8/13/2025,21764.55,21803.75,21645.14,21713.14,6139483720
8/12/2025,21507.44,21689.68,21386.25,21681.9,6127296459
8/11/2025,21459.66,21549.73,21346.62,21385.4,5979869123
8/8/2025,21316.37,21464.53,21284.97,21450.02,6041303156
8/7/2025,21325.01,21408.15,21090.05,21242.7,6401972917
8/6/2025,20955.22,21183.88,20937.49,21169.42,6696650512
8/5/2025,21092.1,21138.71,20893.29,20916.55,5709235064
8/4/2025,20853.91,21055.24,20833.86,21053.58,5511615594
8/1/2025,20830.64,20865.63,20560.17,20650.13,6290884488
7/31/2025,21457.48,21457.48,21078.67,21122.45,7179846721
7/30/2025,21140.4,21230.88,21016.92,21129.67,7107146742
7/29/2025,21286.73,21303.96,21081.69,21098.29,6639597002
7/28/2025,21176.4,21202.18,21122.12,21178.58,5522903176
7/25/2025,21059.94,21159.8,21036.85,21108.32,7067636461
7/24/2025,21083.82,21113.1,21001.68,21057.96,6964807797
