Date,Open,High,Low,Close ,Adj Close ,Volume
2/27/2026,244.03,248.94,242.5,248.43,248.43,"16,428,600"
2/26/2026,245.11,245.47,242.02,243.47,243.47,"7,172,600"
2/25/2026,244.86,247.25,243.72,245.17,245.17,"7,698,200"
2/24/2026,245.35,247.25,244.54,246.28,246.28,"7,246,300"
2/23/2026,243.63,246.81,242.6,245.84,244.54,"9,622,700"
2/20/2026,246.47,246.88,240.28,242.49,241.21,"13,565,800"
2/19/2026,244.62,246.96,244.27,246.91,245.6,"7,553,900"
2/18/2026,243.24,245.07,242.82,244.99,243.69,"8,129,700"
2/17/2026,244.13,244.49,241.87,243.33,242.04,"12,703,000"
2/13/2026,244.59,244.95,242.61,243.45,242.16,"13,268,500"
2/12/2026,240.48,246.35,239.68,244.55,243.26,"10,254,300"
2/11/2026,239.34,241.26,237.4,240.86,239.59,"6,803,900"
2/10/2026,239.98,240.5,237.88,238.35,237.09,"6,723,300"
2/9/2026,240.25,240.74,237.04,238.64,237.38,"9,378,500"
2/6/2026,238.96,240.94,237.98,239.99,238.72,"8,274,000"
2/5/2026,235,239.58,234.99,237.79,236.53,"10,267,500"
2/4/2026,235,235.83,232.94,234.47,233.23,"8,641,400"
2/3/2026,231.5,235.2,230.48,233.1,231.87,"9,346,600"
2/2/2026,228.32,231.19,227.25,230.75,229.53,"8,187,500"
1/30/2026,228.26,228.5,225.33,227.25,226.05,"11,045,500"
1/29/2026,228.81,230,227.08,227.29,226.09,"9,645,300"
1/28/2026,226.4,228.57,226.08,227.72,226.52,"9,026,500"
1/27/2026,222,225.5,220.7,224.44,223.25,"8,154,100"
1/26/2026,220.21,222.03,220,221.49,220.32,"6,856,700"
1/23/2026,219.8,221.21,217.84,220.14,218.98,"6,950,600"
1/22/2026,218.77,222.17,218.1,218.49,217.33,"13,160,000"
1/21/2026,211,218.68,210.5,218.01,216.86,"14,762,900"
1/20/2026,217.09,218.73,214.5,218.21,217.06,"14,057,100"
1/16/2026,219.04,220.11,218.14,218.66,217.5,"10,021,500"
1/15/2026,218.23,219.75,215.91,219.57,218.41,"8,492,100"
1/14/2026,214.73,218.86,214.15,218.55,217.39,"11,858,800"
1/13/2026,209.91,214.39,208.86,213.65,212.52,"11,379,600"
1/12/2026,205.55,209.9,203.85,209.72,208.61,"11,794,300"
1/9/2026,205.91,206.7,204.01,204.39,203.31,"6,154,300"
1/8/2026,206.93,208.98,204.97,205.75,204.66,"6,557,800"
1/7/2026,205.26,208.26,205.03,207.49,206.39,"7,545,900"
1/6/2026,204.6,206.71,204.12,204.79,203.71,"8,107,900"
1/5/2026,205.87,205.94,200.91,204.31,203.23,"9,477,000"
1/2/2026,206.82,207.39,203.68,207.35,206.25,"6,325,500"
12/31/2025,206.91,207.5,206.37,206.95,205.86,"4,083,800"
12/30/2025,207.51,207.69,206.52,206.91,205.82,"3,937,400"
12/29/2025,208,209.47,207.38,207.56,206.46,"4,348,900"
12/26/2025,207.53,208.04,206.71,207.63,206.53,"2,316,700"
12/24/2025,206,207.94,205.57,207.78,206.68,"2,376,500"
12/23/2025,205.02,206.53,203.28,205.78,204.69,"7,047,300"
12/22/2025,206.13,208.08,205.5,207.32,206.22,"8,187,800"
12/19/2025,207.56,209.24,206.03,206.37,205.28,"24,803,900"
12/18/2025,209.8,211.06,207.76,208.31,207.21,"7,499,900"
12/17/2025,209.39,211.52,208.46,210.33,209.22,"8,457,600"
12/16/2025,214,214.73,208.81,209.3,208.19,"9,949,800"
12/15/2025,210.35,215.19,209.01,214.17,213.04,"8,467,000"
12/12/2025,210.28,212.27,208.96,211.58,210.46,"6,922,700"
12/11/2025,207.9,211.24,207.83,210.01,208.9,"9,009,000"
12/10/2025,200.59,206.8,200.18,206.54,205.45,"11,599,800"
12/9/2025,202.92,205.54,199.91,199.96,198.9,"7,509,400"
12/8/2025,202.66,203.26,200.99,201.62,200.55,"7,785,700"
12/5/2025,202.98,203.45,200.81,201.93,200.86,"7,785,300"
12/4/2025,204.59,204.86,201.71,202.48,201.41,"9,049,900"
12/3/2025,205.9,207.02,204.99,205.33,204.24,"8,363,300"
12/2/2025,205.24,205.61,203.1,205.42,204.33,"8,393,600"
12/1/2025,206.5,207.7,205.34,205.34,204.25,"8,473,700"
11/28/2025,207,207.46,204.63,206.92,205.83,"5,638,300"
11/26/2025,206.49,207.81,205.94,207.56,206.46,"6,729,000"
11/25/2025,205.18,207.72,205.18,206.67,205.58,"10,275,300"
11/24/2025,203.71,206.12,203,206.05,203.67,"14,803,900"
11/21/2025,203.96,206.94,202.99,203.9,201.54,"13,189,100"
11/20/2025,202,204.51,201.57,203.07,200.72,"10,612,600"
11/19/2025,200,203.48,199.38,202.51,200.17,"14,690,800"
11/18/2025,199.01,200.3,198.53,200,197.69,"12,468,600"
11/17/2025,196.96,200.28,195.9,199.58,197.27,"13,257,000"
11/14/2025,195,197.18,193.55,195.93,193.66,"8,824,800"
11/13/2025,194.21,196,193.45,195.25,192.99,"8,631,600"
