Date,Open,High,Low,Close ,Adj Close ,Volume
27-Feb-26,300,302.95,294.45,300.3,298.77,"18,620,800"
26-Feb-26,304.58,309.01,303.64,306.13,304.57,"7,007,800"
25-Feb-26,298.64,303.66,297.01,303.3,301.76,"8,095,500"
24-Feb-26,296.82,299.75,291.38,297.3,295.79,"13,554,100"
23-Feb-26,308.8,311,295.1,297.67,296.15,"12,955,400"
20-Feb-26,308.4,311,305.68,310.79,309.21,"7,792,700"
19-Feb-26,307.17,309.18,305.12,308.05,306.48,"6,737,700"
18-Feb-26,308.46,312.28,307.22,308.78,307.21,"7,209,600"
17-Feb-26,302.76,308.24,302.5,307.13,305.57,"8,896,800"
13-Feb-26,298.52,304.29,296.52,302.55,301.01,"9,114,500"
12-Feb-26,312.28,313.62,300.02,302.64,301.1,"13,443,400"
11-Feb-26,323.24,325.28,308.73,310.82,309.24,"8,703,500"
10-Feb-26,322.55,326.13,315.12,318.28,316.66,"9,902,200"
9-Feb-26,321.34,326.4,320.11,322.1,320.46,"11,477,500"
6-Feb-26,314.71,324.25,314.71,322.4,320.76,"17,797,400"
5-Feb-26,315,316.01,305.54,310.16,308.58,"9,388,000"
4-Feb-26,314.41,319.31,314.41,317.27,315.65,"9,848,800"
3-Feb-26,309.73,316.25,309.1,314.85,313.25,"12,688,000"
2-Feb-26,304.46,309.3,301.37,308.14,306.57,"9,839,400"
30-Jan-26,305.25,307.93,302.56,305.89,304.33,"11,953,200"
29-Jan-26,302.4,306.83,302.22,306.42,304.86,"11,580,000"
28-Jan-26,300.27,301.92,298.05,300.77,299.24,"9,556,700"
27-Jan-26,301.33,301.97,298.15,300.31,298.78,"11,527,400"
26-Jan-26,297.81,301.78,297.45,301.04,299.51,"11,752,700"
23-Jan-26,302,302.37,296.51,297.72,296.2,"11,107,900"
22-Jan-26,304.86,308.2,302.9,303.63,302.08,"10,535,800"
21-Jan-26,303.43,305.4,301.15,302.04,300.5,"10,270,100"
20-Jan-26,306.21,311.15,301.86,302.74,301.2,"12,900,600"
16-Jan-26,310.35,317.21,310,312.47,310.88,"14,652,500"
15-Jan-26,308.47,312.94,307.75,309.26,307.69,"14,751,400"
14-Jan-26,308.2,311.76,306.12,307.87,306.3,"25,951,500"
