Date,Open,High,Low,Close ,Adj Close ,Volume
2/27/2026,643.45,649.44,638.12,648.18,647.63,"15,703,000"
2/26/2026,650.55,661,647.5,657.01,656.45,"10,637,700"
2/25/2026,642.53,653.88,642.14,653.69,653.13,"11,330,700"
2/24/2026,633.08,641.11,628.98,639.3,638.75,"10,135,600"
2/23/2026,652.54,657.7,636,637.25,636.7,"8,605,900"
2/20/2026,639.69,663.35,638.78,655.66,655.1,"14,183,500"
2/19/2026,638.57,647.19,636.72,644.78,644.23,"10,035,700"
2/18/2026,633.8,645,628.15,643.22,642.67,"14,649,200"
2/17/2026,639.5,642.6,628.8,639.29,638.74,"12,674,700"
2/13/2026,645.1,651.43,634.57,639.77,639.22,"12,336,400"
2/12/2026,669.97,676,645.28,649.81,649.25,"14,960,100"
2/11/2026,674,679.27,657.1,668.69,668.12,"14,323,800"
2/10/2026,677.6,680.65,669.79,670.72,670.15,"10,455,800"
2/9/2026,663.18,683.31,658.78,677.22,676.64,"14,837,500"
2/6/2026,665.49,671.99,646.5,661.46,660.89,"18,159,300"
2/5/2026,663.58,681.5,653.5,670.21,669.64,"17,131,800"
2/4/2026,687.73,688.83,667.46,668.99,668.42,"16,882,800"
2/3/2026,707.37,717,686.41,691.7,691.11,"13,760,700"
2/2/2026,714.6,721.3,703.52,706.41,705.81,"14,365,200"
1/30/2026,727.5,732.17,713.59,716.5,715.89,"23,744,600"
1/29/2026,737.43,744,712.55,738.31,737.68,"59,852,900"
1/28/2026,674.5,677.68,666.1,668.73,668.16,"25,709,600"
1/27/2026,674.59,676.82,664.66,672.97,672.39,"13,297,400"
1/26/2026,665.13,675.28,661.29,672.36,671.78,"16,327,400"
1/23/2026,644.77,666.49,644.45,658.76,658.2,"22,797,700"
1/22/2026,629.35,660.57,626.55,647.63,647.08,"21,394,700"
1/21/2026,606.74,618.27,600.08,612.96,612.44,"14,494,700"
1/20/2026,607.88,611.4,600,604.12,603.6,"15,169,600"
1/16/2026,624.18,629.08,620.08,620.25,619.72,"17,012,500"
1/15/2026,618.48,624.17,614.23,620.8,620.27,"13,076,100"
1/14/2026,626.5,628.45,614.82,615.52,614.99,"15,527,900"
1/13/2026,642.27,642.27,624.1,631.09,630.55,"18,030,400"
1/12/2026,652.53,653.97,641.23,641.97,641.42,"14,797,200"
1/9/2026,645.44,654.95,642.85,653.06,652.5,"11,634,900"
1/8/2026,645.88,647.1,635.72,646.06,645.51,"11,921,700"
1/7/2026,655.64,659.15,644.81,648.69,648.14,"12,846,300"
1/6/2026,659.57,665.52,651.9,660.62,660.05,"11,074,400"
1/5/2026,651.01,664.54,647.75,658.79,658.23,"12,213,700"
1/2/2026,662.73,664.39,643.5,650.41,649.85,"13,726,500"
12/31/2025,664.75,665,659.44,660.09,659.53,"7,940,400"
12/30/2025,658.69,672.22,657.84,665.95,665.38,"9,187,500"
12/29/2025,658.01,660.25,654.39,658.69,658.13,"8,506,500"
12/26/2025,668.06,668.95,661.32,663.29,662.72,"7,133,800"
12/24/2025,662.53,668.18,662.2,667.55,666.98,"5,627,500"
12/23/2025,660.05,666,658.25,664.94,664.37,"8,486,800"
