Date,Open,High,Low,Close ,Adj Close ,Volume
2/27/2026,390.88,396.82,389.88,392.74,392.74,"51,367,200"
2/26/2026,404.71,407.49,398.74,401.72,401.72,"34,405,900"
2/25/2026,390.53,401.47,390.16,400.6,400.6,"43,625,500"
2/24/2026,384.14,389.36,381.71,389,389,"33,884,700"
2/23/2026,395,395.36,383.1,384.47,384.47,"43,238,300"
2/20/2026,396.11,400.12,395.16,397.23,397.23,"34,015,200"
2/19/2026,400.69,404.43,396.67,398.46,398.46,"28,234,000"
2/18/2026,398.13,402.56,396.32,399.6,398.69,"23,223,400"
2/17/2026,399.22,400.52,394.53,396.86,395.96,"32,078,800"
2/13/2026,404.45,405.54,398.05,401.32,400.41,"34,091,600"
2/12/2026,405,406.2,398.01,401.84,400.92,"40,802,400"
2/11/2026,416.18,416.46,401.01,404.37,403.45,"42,491,000"
2/10/2026,419.62,423.68,412.7,413.27,412.33,"44,857,900"
2/9/2026,404.85,414.89,400.87,413.6,412.66,"45,480,500"
2/6/2026,399.17,401.79,392.92,401.14,400.23,"53,515,300"
2/5/2026,407.44,408.3,392.32,393.67,392.77,"66,289,200"
2/4/2026,411,419.8,409.24,414.19,413.25,"45,012,400"
2/3/2026,422.01,422.05,408.56,411.21,410.27,"61,424,100"
2/2/2026,430.24,430.74,422.25,423.37,422.41,"42,219,900"
1/30/2026,439.17,439.6,426.45,430.29,429.31,"58,566,800"
1/29/2026,439.99,442.5,421.02,433.5,432.51,"128,855,300"
1/28/2026,483.21,483.74,478,481.63,480.53,"36,875,400"
1/27/2026,473.7,482.87,473.16,480.58,479.49,"29,213,900"
1/26/2026,465.31,474.25,462,470.28,469.21,"29,291,200"
1/23/2026,451.87,471.1,450.53,465.95,464.89,"38,000,200"
1/22/2026,447.62,452.84,444.7,451.14,450.11,"25,349,400"
1/21/2026,452.6,452.69,438.68,444.11,443.1,"37,980,500"
1/20/2026,451.22,456.8,449.28,454.52,453.48,"26,130,000"
1/16/2026,457.83,463.19,456.48,459.86,458.81,"34,246,700"
1/15/2026,464.12,464.25,455.9,456.66,455.62,"23,225,800"
1/14/2026,466.46,468.2,457.17,459.38,458.33,"28,184,300"
1/13/2026,474.68,475.78,465.95,470.67,469.6,"28,545,800"
1/12/2026,476.67,480.99,475.68,477.18,476.09,"23,519,900"
1/9/2026,474.06,479.82,472.2,479.28,478.19,"18,491,000"
1/8/2026,481.24,482.66,475.86,478.11,477.02,"18,162,600"
1/7/2026,479.76,489.7,477.95,483.47,482.37,"25,564,200"
1/6/2026,473.8,478.74,469.75,478.51,477.42,"23,037,700"
1/5/2026,474.06,476.07,469.5,472.85,471.77,"25,250,300"
1/2/2026,484.39,484.66,470.16,472.94,471.86,"25,571,600"
12/31/2025,485.93,489.68,485.5,487.48,486.37,"13,944,500"
12/30/2025,485.93,489.68,485.5,487.48,486.37,"13,944,500"
12/29/2025,484.86,488.35,484.18,487.1,485.99,"10,893,400"
12/26/2025,486.71,488.12,485.96,487.71,486.6,"8,842,200"
12/24/2025,485.68,489.16,484.83,488.02,486.91,"5,855,900"
12/23/2025,484.98,487.83,484.74,486.85,485.74,"14,683,600"
12/22/2025,486.12,488.73,482.69,484.92,483.82,"16,963,000"
12/19/2025,487.36,487.85,482.49,485.92,484.81,"70,836,100"
12/18/2025,478.19,489.6,477.89,483.98,482.88,"28,573,500"
12/17/2025,476.91,480,475,476.12,475.04,"24,527,200"
12/16/2025,471.91,477.89,470.88,476.39,475.31,"20,705,600"
12/15/2025,480.1,480.72,472.52,474.82,473.74,"23,727,700"
12/12/2025,479.82,482.45,476.34,478.53,477.44,"21,248,100"
12/11/2025,476.63,486.03,475.86,483.47,482.37,"24,669,200"
12/10/2025,484.03,484.25,475.08,478.56,477.47,"35,756,200"
12/9/2025,489.1,492.12,488.5,492.02,490.9,"14,696,100"
12/8/2025,484.89,492.3,484.38,491.02,489.9,"21,965,900"
12/5/2025,482.52,483.4,478.88,483.16,482.06,"22,608,700"
12/4/2025,479.76,481.32,476.49,480.84,479.74,"22,318,200"
12/3/2025,476.32,484.24,475.2,477.73,476.64,"34,615,100"
12/2/2025,486.72,493.5,486.32,490,488.88,"19,562,700"
12/1/2025,488.44,489.86,484.65,486.74,485.63,"23,964,000"
11/28/2025,487.6,492.63,486.65,492.01,490.89,"14,386,700"
11/26/2025,486.31,488.31,481.2,485.5,484.39,"25,709,100"
11/25/2025,474.07,479.15,464.89,476.99,475.9,"28,019,800"
11/24/2025,475,476.9,468.02,474,472.92,"34,421,000"
11/21/2025,478.5,478.92,468.27,472.12,471.04,"31,769,200"
11/20/2025,492.71,493.57,475.5,478.43,477.34,"26,802,500"
11/19/2025,490.1,495.19,482.83,487.12,485.1,"23,245,300"
11/18/2025,495.37,502.98,486.78,493.79,491.75,"33,815,100"
11/17/2025,508.45,512.12,504.91,507.49,505.39,"19,092,800"
11/14/2025,498.23,511.6,497.44,510.18,508.07,"28,505,700"
11/13/2025,510.31,513.5,501.29,503.29,501.21,"25,273,100"
11/12/2025,509.36,511.67,499.12,511.14,509.02,"26,574,900"
11/11/2025,504.8,509.6,502.35,508.68,506.57,"17,980,000"
11/10/2025,500.04,506.85,498.8,506,503.9,"26,101,500"
11/7/2025,496.95,499.38,493.25,496.82,494.76,"24,019,800"
11/6/2025,505.66,505.7,495.81,497.1,495.04,"27,406,500"
11/5/2025,513.3,514.83,506.58,507.16,505.06,"23,024,300"
11/4/2025,511.76,515.55,507.84,514.33,512.2,"20,958,700"
11/3/2025,519.81,524.96,514.59,517.03,514.89,"22,374,700"
10/31/2025,528.88,529.32,515.1,517.81,515.67,"34,006,400"
10/30/2025,530.48,534.97,522.12,525.76,523.58,"41,023,100"
10/29/2025,544.94,546.27,536.73,541.55,539.31,"36,023,000"
10/28/2025,550,553.72,540.77,542.07,539.83,"29,986,700"
10/27/2025,531.78,534.58,529.01,531.52,529.32,"18,734,700"
10/24/2025,522.79,525.35,520.71,523.61,521.44,"15,532,400"
10/23/2025,522.46,523.95,518.61,520.56,518.4,"14,023,500"
10/22/2025,521.15,525.23,517.71,520.54,518.38,"18,962,700"
10/21/2025,517.5,518.69,513.04,517.66,515.52,"15,586,200"
10/20/2025,514.61,518.7,513.43,516.79,514.65,"14,665,600"
10/17/2025,509.04,515.48,507.31,513.58,511.45,"19,867,800"
10/16/2025,512.58,516.85,508.13,511.61,509.49,"15,559,600"
10/15/2025,514.96,517.19,510,513.43,511.3,"14,694,700"
