Date,Open,High,Low,Close ,Adj Close ,Volume
2/27/2026,402.94,407.12,398.11,402.51,402.51,"56,890,100"
2/26/2026,414.42,416.81,403.66,408.58,408.58,"53,602,500"
2/25/2026,412.15,420.34,412.15,417.4,417.4,"54,809,700"
2/24/2026,399.5,410.82,397.64,409.38,409.38,"58,579,500"
2/23/2026,407.29,407.7,394.04,399.83,399.83,"69,680,000"
2/20/2026,408.3,414.7,405.5,411.82,411.82,"57,912,200"
2/19/2026,407.25,415.25,404.11,411.71,411.71,"51,019,600"
2/18/2026,411.11,416.9,409.58,411.32,411.32,"45,921,400"
2/17/2026,412.36,413.72,400.51,410.63,410.63,"59,678,800"
2/13/2026,414.31,424.06,410.88,417.44,417.44,"51,434,100"
2/12/2026,430.3,436.23,414,417.07,417.07,"61,933,400"
2/11/2026,427.96,436.35,420.03,428.27,428.27,"57,362,000"
2/10/2026,418.08,427.25,417,425.21,425.21,"64,450,200"
2/9/2026,409.91,421.25,407.29,417.32,417.32,"54,484,300"
2/6/2026,400.87,414.55,397.75,411.11,411.11,"62,677,100"
2/5/2026,397.02,402.1,387.53,397.21,397.21,"72,819,800"
2/4/2026,420.46,423.9,399.18,406.01,406.01,"74,606,900"
2/3/2026,424.27,428.56,413.69,421.96,421.96,"56,886,500"
2/2/2026,421.29,427.15,414.5,421.81,421.81,"58,739,500"
1/30/2026,425.35,439.88,422.7,430.41,430.41,"82,626,100"
1/29/2026,437.8,440.23,414.62,416.56,416.56,"81,686,100"
1/28/2026,431.91,438.26,430.1,431.46,431.46,"54,857,400"
1/27/2026,437.41,437.52,430.69,430.9,430.9,"37,733,100"
1/26/2026,445,445.04,434.28,435.2,435.2,"49,397,400"
1/23/2026,447.43,452.43,444.04,449.06,449.06,"56,771,400"
1/22/2026,435.16,449.5,432.63,449.36,449.36,"71,546,700"
1/21/2026,421.66,438.2,419.62,431.44,431.44,"68,124,000"
1/20/2026,429.36,430.73,417.44,419.25,419.25,"63,187,300"
1/16/2026,439.5,447.25,435.26,437.5,437.5,"60,220,600"
1/15/2026,441.13,445.36,437.65,438.57,438.57,"49,465,800"
1/14/2026,442.81,443.91,434.22,439.2,439.2,"57,259,500"
1/13/2026,450.2,451.81,443.95,447.2,447.2,"53,719,200"
1/12/2026,441.23,454.3,438,448.96,448.96,"61,649,600"
1/9/2026,435.95,449.05,430.39,445.01,445.01,"67,331,500"
1/8/2026,427.89,436.89,424.37,435.8,435.8,"57,041,100"
1/7/2026,435.9,438.37,431.29,431.41,431.41,"59,828,800"
1/6/2026,446.38,448.25,428.78,432.96,432.96,"89,093,800"
1/5/2026,447.99,457.55,444.57,451.67,451.67,"67,940,800"
1/2/2026,457.8,458.34,435.3,438.07,438.07,"85,535,400"
12/31/2025,456.1,456.55,449.3,449.72,449.72,"49,078,000"
12/30/2025,461.09,463.12,453.83,454.43,454.43,"59,238,500"
12/29/2025,469,469.4,459,459.64,459.64,"66,263,000"
12/26/2025,485.23,489.09,473.82,475.19,475.19,"58,780,700"
12/24/2025,488.48,490.9,476.8,485.4,485.4,"41,285,400"
12/23/2025,489.4,491.97,482.84,485.56,485.56,"58,223,600"
12/22/2025,489.88,498.83,485.33,488.73,488.73,"86,916,100"
12/19/2025,488.12,490.49,474.72,481.2,481.2,"103,305,400"
12/18/2025,478.16,490.86,473.12,483.37,483.37,"95,168,400"
12/17/2025,488.22,495.28,466.2,467.26,467.26,"106,490,400"
12/16/2025,472.21,491.5,465.83,489.88,489.88,"107,608,100"
12/15/2025,469.44,481.77,467.66,475.31,475.31,"114,542,200"
12/12/2025,448.09,463.01,441.67,458.96,458.96,"95,656,700"
12/11/2025,448.95,449.27,440.33,446.89,446.89,"55,979,500"
12/10/2025,446.07,456.88,443.61,451.45,451.45,"63,257,500"
12/9/2025,437.54,452.39,435.7,445.17,445.17,"62,367,400"
12/8/2025,447.45,449.75,435.25,439.58,439.58,"69,165,800"
12/5/2025,453.03,458.87,451.66,455,455,"56,427,500"
12/4/2025,449.94,454.63,445.39,454.53,454.53,"71,906,500"
12/3/2025,432.1,447.92,431.11,446.74,446.74,"87,483,000"
