Date,Open,High,Low,Close ,Adj Close ,Volume
2/27/2026,125.52,128.6,125.15,127.95,127.69,"29,205,500"
2/26/2026,125.98,127.33,123.94,124.42,124.17,"18,638,300"
2/25/2026,126.61,127.4,125.42,125.75,125.49,"17,345,700"
2/24/2026,125.9,128.04,124.91,126.75,126.49,"20,161,200"
2/23/2026,123.52,126.8,122.96,125.81,125.55,"25,662,800"
2/20/2026,123,123.48,121.05,122.99,122.74,"35,151,000"
2/19/2026,128.5,130.1,124.4,124.87,124.61,"42,993,300"
2/18/2026,128.13,128.87,125.77,126.62,126.36,"36,485,000"
2/17/2026,133.11,134.69,128.16,128.85,128.59,"37,995,900"
2/13/2026,132.7,134.65,131.75,133.89,133.62,"24,131,200"
2/12/2026,129.38,134.49,129.31,133.64,133.37,"33,382,700"
2/11/2026,126.7,129.74,126.63,128.77,128.51,"19,232,100"
2/10/2026,128.94,129.34,126.39,126.7,126.44,"24,662,000"
2/9/2026,131.42,131.79,128.09,129.02,128.76,"27,197,300"
2/6/2026,127.29,131.7,127.05,131.18,130.91,"26,593,400"
2/5/2026,128.58,129.6,126.56,126.94,126.68,"30,517,800"
2/4/2026,128.13,129.41,127.09,128,127.74,"27,531,800"
2/3/2026,123.65,128.17,123.65,127.71,127.45,"32,018,700"
2/2/2026,119.5,124.2,119.05,124.06,123.81,"31,210,100"
1/30/2026,116.91,119.41,116.6,119.14,118.9,"22,215,400"
1/29/2026,116.45,117.66,116.07,117.41,117.17,"16,381,100"
1/28/2026,116.64,117.46,115.87,116.57,116.33,"16,342,000"
1/27/2026,117.5,117.63,115.48,116.94,116.7,"22,968,600"
1/26/2026,117.81,118.85,117.39,117.64,117.4,"19,552,200"
1/23/2026,118.17,118.61,117.14,117.73,117.49,"20,806,900"
1/22/2026,119.29,119.52,117.65,117.83,117.59,"24,547,300"
1/21/2026,118.08,120.49,117.55,119.36,119.12,"34,811,700"
1/20/2026,120.89,121.62,117.61,118.71,118.47,"45,334,000"
1/16/2026,118.67,120.6,116.9,119.7,119.45,"415,144,600"
1/15/2026,119.98,120.87,118.73,119.2,118.96,"34,559,400"
1/14/2026,120.19,121.24,119.03,120.04,119.79,"32,764,000"
1/13/2026,117.89,120.51,117.73,120.36,120.11,"31,222,100"
1/12/2026,117.5,118.84,116.41,117.97,117.73,"49,182,100"
1/9/2026,112.26,115.46,112.26,114.53,114.3,"21,902,900"
1/8/2026,111.29,113.47,109.81,113.07,112.84,"24,058,300"
1/7/2026,114.19,114.73,112.1,112.72,112.49,"23,306,000"
1/6/2026,112.4,114.79,111.99,114.34,114.11,"20,120,800"
1/5/2026,112.82,113.73,112.15,112.71,112.48,"19,557,600"
1/2/2026,111.43,112.79,111.12,112.76,112.53,"14,306,600"
12/31/2025,111.73,112.25,111.32,111.41,111.18,"11,487,400"
12/30/2025,111.89,112.69,111.84,111.92,111.69,"11,730,600"
12/29/2025,111.59,112.78,111.57,112.53,112.3,"12,979,600"
12/26/2025,111.72,111.97,111.36,111.74,111.51,"9,003,800"
12/24/2025,110.9,111.71,110.55,111.61,111.38,"9,009,600"
12/23/2025,111.99,112.35,110.7,110.9,110.67,"20,319,900"
12/22/2025,114.01,114.32,112.22,112.6,112.37,"21,473,900"
12/19/2025,115.14,115.28,113.53,114.36,114.13,"50,043,800"
12/18/2025,115.01,116.48,114.61,114.83,114.59,"21,476,700"
12/17/2025,115.2,116.39,115.07,115.66,115.42,"16,177,800"
12/16/2025,116.58,116.88,114.95,115.42,115.18,"19,642,300"
12/15/2025,116.93,117.45,115.64,116.79,116.55,"18,713,700"
12/12/2025,0.235 Dividend ,,,,,
12/12/2025,115.26,116.95,115.02,116.7,116.46,"19,092,400"
12/11/2025,113.14,115.87,112.85,115.52,115.05,"21,586,600"
12/10/2025,115.35,116.23,112.99,113.18,112.72,"22,859,600"
12/9/2025,113.95,115.72,113.02,115.06,114.59,"24,326,700"
12/8/2025,114.57,114.99,112.3,113.56,113.1,"22,700,700"
12/5/2025,114.73,116.27,114.68,115.11,114.64,"23,956,400"
12/4/2025,113.62,114.89,113.16,114.84,114.37,"25,905,100"
12/3/2025,112.5,114.89,112.22,114.41,113.94,"24,478,300"
12/2/2025,111.47,112.65,110.79,112.41,111.95,"18,711,800"
12/1/2025,110.51,111.76,110.36,111.53,111.08,"17,236,800"
11/28/2025,109.3,110.7,109,110.51,110.06,"9,846,500"
11/26/2025,107.2,109.59,107.17,109.1,108.66,"17,783,300"
11/25/2025,104.61,107.42,104.23,107,106.56,"20,212,900"
11/24/2025,105.36,106.27,103.76,104.06,103.64,"42,519,200"
11/21/2025,107.98,108.15,104.72,105.32,104.89,"41,420,800"
11/20/2025,103.94,107.91,102.68,107.11,106.67,"50,375,900"
11/19/2025,101.58,101.71,99.68,100.61,100.2,"22,157,000"
11/18/2025,102.98,103.34,101.38,101.39,100.98,"17,604,500"
11/17/2025,102.58,103.32,102.1,102.95,102.53,"15,289,400"
11/14/2025,100.2,102.49,98.88,102.48,102.06,"23,424,200"
11/13/2025,103.59,103.93,102.02,102.54,102.12,"18,088,500"
11/12/2025,103.35,103.6,102.66,103.44,103.02,"12,084,400"
11/11/2025,102.5,103.74,102.32,103.44,103.02,"13,182,100"
11/10/2025,102.15,102.67,101.6,102.42,102,"14,507,600"
11/7/2025,102.13,102.97,101.73,102.59,102.17,"17,248,700"
11/6/2025,101.34,101.93,100.03,101.68,101.27,"14,866,000"
11/5/2025,101.74,102.68,100.85,101.47,101.06,"13,356,800"
11/4/2025,102.13,102.62,101.46,102.27,101.85,"12,636,400"
11/3/2025,100.82,101.8,100.4,101.59,101.18,"14,811,700"
10/31/2025,101.7,102.1,100.18,101.18,100.77,"20,237,000"
10/30/2025,102.2,103.37,101.96,102.23,101.81,"14,065,100"
10/29/2025,102.91,103.67,102.11,102.46,102.04,"11,986,400"
10/28/2025,104.06,104.14,103.05,103.17,102.75,"13,323,000"
10/27/2025,106.34,106.36,104.15,104.47,104.04,"16,375,900"
