Date,Open,High,Low,Close ,Adj Close ,Volume
12/31/2025,312.85,314.58,311.44,313,313,"16,377,700"
12/30/2025,312.5,316.95,312.46,313.85,313.85,"17,380,900"
12/29/2025,311.37,314.02,310.62,313.56,313.56,"19,621,800"
12/26/2025,314.48,315.09,312.28,313.51,313.51,"10,899,000"
12/24/2025,314.77,315.08,311.92,314.09,314.09,"10,097,400"
12/23/2025,309.63,314.94,309.32,314.35,314.35,"25,478,700"
12/22/2025,309.88,310.13,305.3,309.78,309.78,"26,429,900"
12/19/2025,301.73,307.25,300.97,307.16,307.16,"59,943,200"
12/18/2025,301.72,303.96,299.23,302.46,302.46,"33,518,000"
12/17/2025,308.01,308.09,296.12,296.72,296.72,"43,930,400"
12/16/2025,304.95,310.77,302.59,306.57,306.57,"30,585,000"
12/15/2025,311.32,311.42,304.88,308.22,308.22,"29,151,900"
12/12/2025,313.7,314.87,305.56,309.29,309.29,"35,940,200"
12/11/2025,320.08,321.12,308.6,312.43,312.43,"42,353,700"
12/10/2025,315.83,321.31,314.68,320.21,320.21,"33,428,900"
12/9/2025,312.37,317.99,311.9,317.08,317.08,"30,194,000"
12/8/2025,320.05,320.44,311.22,313.72,313.72,"33,909,400"
12/5/2025,319.49,323.16,319.17,321.27,321.06,"28,851,700"
12/4/2025,322.23,322.36,314.7,317.62,317.41,"31,240,900"
12/3/2025,315.89,321.58,314.1,319.63,319.42,"41,838,300"
12/2/2025,316.74,318.38,313.91,315.81,315.6,"35,854,700"
12/1/2025,317.7,319.85,313.89,314.89,314.68,"41,183,000"
11/28/2025,323.37,326.85,316.79,320.18,319.97,"26,018,600"
11/26/2025,320.68,324.5,316.79,319.95,319.74,"51,373,400"
11/25/2025,326.21,328.83,317.65,323.44,323.23,"88,632,100"
11/24/2025,311.13,319.48,309.6,318.58,318.37,"85,165,100"
11/21/2025,296.42,303.92,293.85,299.66,299.46,"74,137,700"
11/20/2025,304.54,306.42,288.67,289.45,289.26,"62,025,200"
11/19/2025,287.16,303.81,286.63,292.81,292.62,"68,198,900"
11/18/2025,287.92,288.8,278.2,284.28,284.09,"49,158,700"
11/17/2025,285.78,293.95,283.57,285.02,284.83,"52,670,200"
11/14/2025,271.41,278.56,270.7,276.41,276.23,"31,647,200"
11/13/2025,282.34,282.84,277.24,278.57,278.39,"29,494,000"
11/12/2025,291.68,292.01,283.69,286.71,286.52,"24,829,900"
11/11/2025,287.75,291.92,287.32,291.31,291.12,"19,842,100"
11/10/2025,284.42,290.8,282.86,290.1,289.91,"29,557,300"
11/7/2025,283.21,283.78,275.19,278.83,278.65,"34,479,600"
11/6/2025,285.33,288.35,281.14,284.75,284.56,"37,173,600"
11/5/2025,278.87,286.42,277.34,284.31,284.12,"31,010,300"
11/4/2025,276.75,281.27,276.26,277.54,277.36,"30,078,400"
11/3/2025,282.18,285.53,279.8,283.72,283.53,"29,786,000"
10/31/2025,283.21,286,277.03,281.19,281.01,"39,267,900"
10/30/2025,291.59,291.59,280.06,281.48,281.3,"74,876,000"
10/29/2025,267.75,275.34,267.67,274.57,274.39,"43,580,300"
10/28/2025,269.69,270.73,266.5,267.47,267.3,"29,738,600"
10/27/2025,264.82,270.14,264.28,269.27,269.09,"35,235,200"
10/24/2025,256.58,261.68,255.32,259.92,259.75,"28,655,100"
10/23/2025,252.98,255.04,251.85,253.08,252.91,"19,901,400"
10/22/2025,254.37,256.36,249.29,251.69,251.53,"35,029,400"
10/21/2025,254.74,254.88,244.15,250.46,250.3,"47,312,100"
10/20/2025,254.69,257.33,254.23,256.55,256.38,"22,350,200"
10/17/2025,250.76,254.22,247.81,253.3,253.13,"29,671,600"
10/16/2025,251.77,256.96,250.1,251.46,251.3,"27,997,200"
10/15/2025,247.25,252.11,245.99,251.03,250.87,"27,007,700"
10/14/2025,241.23,247.12,240.51,245.45,245.29,"22,111,600"
10/13/2025,240.21,244.5,239.71,244.15,243.99,"24,995,000"
10/10/2025,241.43,244.09,235.84,236.57,236.42,"33,180,300"
10/9/2025,244.47,244.76,239.15,241.53,241.37,"27,892,100"
10/8/2025,244.96,246.01,243.82,244.62,244.46,"21,307,100"
10/7/2025,248.27,250.44,245.52,245.76,245.6,"23,181,300"
10/6/2025,244.78,251.32,244.58,250.43,250.27,"28,894,700"
10/3/2025,244.49,246.3,241.66,245.35,245.19,"30,249,600"
10/2/2025,245.15,246.81,242.3,245.69,245.53,"25,483,300"
10/1/2025,240.75,246.3,238.61,244.9,244.74,"31,658,200"
9/30/2025,242.81,243.29,239.25,243.1,242.94,"34,724,300"
9/29/2025,247.85,251.15,242.77,244.05,243.89,"32,505,800"
9/26/2025,247.07,249.42,245.97,246.54,246.38,"18,503,200"
9/25/2025,244.4,246.49,240.74,245.79,245.63,"31,020,400"
