Date,Portfolio_Value,Week_Return,Week_PnL,Cumulative_PnL,Cumulative_Return,Result
2024-01-05,9941.11,-0.005889,-58.89,-58.89,-0.005889,Loss
2024-01-12,10111.95,0.017186,170.84,111.95,0.011195,Profit
2024-01-19,10196.5,0.008361,84.55,196.5,0.01965,Profit
2024-01-26,10284.83,0.008663,88.33,284.83,0.028483,Profit
2024-02-02,10423.82,0.013514,138.99,423.82,0.042382,Profit
2024-02-09,10602.04,0.017097,178.22,602.04,0.060204,Profit
2024-02-16,10598.9,-0.000295,-3.13,598.9,0.05989,Loss
2024-02-23,10675.77,0.007252,76.87,675.77,0.067577,Profit
2024-03-01,10655.26,-0.001922,-20.52,655.26,0.065526,Loss
2024-03-08,10443.19,-0.019902,-212.06,443.19,0.044319,Loss
2024-03-15,10426.7,-0.001579,-16.49,426.7,0.04267,Loss
2024-03-22,10638.76,0.020338,212.06,638.76,0.063876,Profit
2024-03-29,10727.13,0.008306,88.37,727.13,0.072713,Profit
2024-04-05,10644.17,-0.007734,-82.97,644.17,0.064417,Loss
2024-04-12,10492.51,-0.014248,-151.66,492.51,0.049251,Loss
2024-04-19,10116.07,-0.035877,-376.44,116.07,0.011607,Loss
2024-04-26,10272.96,0.015509,156.89,272.96,0.027296,Profit
2024-05-03,10519.23,0.023972,246.27,519.23,0.051923,Profit
2024-05-10,10620.85,0.009661,101.62,620.85,0.062085,Profit
2024-05-17,10864.72,0.022961,243.87,864.72,0.086472,Profit
2024-05-24,10914.85,0.004614,50.13,914.85,0.091485,Profit
2024-05-31,11003.08,0.008083,88.23,1003.08,0.100308,Profit
2024-06-07,11247.13,0.02218,244.05,1247.13,0.124713,Profit
2024-06-14,11418.37,0.015225,171.24,1418.37,0.141837,Profit
2024-06-21,11509.52,0.007983,91.15,1509.52,0.150952,Profit
2024-06-28,11669.29,0.013881,159.77,1669.29,0.166929,Profit
2024-07-05,12311.41,0.055027,642.13,2311.41,0.231141,Profit
2024-07-12,12408.35,0.007873,96.93,2408.35,0.240835,Profit
2024-07-19,12135.36,-0.022,-272.99,2135.36,0.213536,Loss
2024-07-26,11971.42,-0.013509,-163.94,1971.42,0.197142,Loss
2024-08-02,11746.78,-0.018764,-224.64,1746.78,0.174678,Loss
2024-08-09,11679.6,-0.005719,-67.18,1679.6,0.16796,Loss
2024-08-16,12209.5,0.04537,529.9,2209.5,0.22095,Profit
2024-08-23,12342.05,0.010857,132.55,2342.05,0.234205,Profit
2024-08-30,12248.09,-0.007614,-93.97,2248.09,0.224809,Loss
2024-09-06,11599.48,-0.052956,-648.6,1599.48,0.159948,Loss
2024-09-13,12037.21,0.037737,437.73,2037.21,0.203721,Profit
2024-09-20,12264.74,0.018902,227.53,2264.74,0.226474,Profit
2024-09-27,12433.96,0.013797,169.22,2433.96,0.243396,Profit
2024-10-04,12429.89,-0.000327,-4.07,2429.89,0.242989,Loss
2024-10-11,12330.99,-0.007957,-98.9,2330.99,0.233099,Loss
2024-10-18,12507.54,0.014318,176.55,2507.54,0.250754,Profit
2024-10-25,12664.84,0.012576,157.3,2664.84,0.266484,Profit
2024-11-01,12492.81,-0.013583,-172.03,2492.81,0.249281,Loss
2024-11-08,13175.17,0.054621,682.36,3175.17,0.317517,Profit
2024-11-15,12948.2,-0.017227,-226.97,2948.2,0.29482,Loss
2024-11-22,13353.43,0.031296,405.23,3353.43,0.335343,Profit
2024-11-29,13423.06,0.005214,69.63,3423.06,0.342306,Profit
2024-12-06,13721.94,0.022266,298.88,3721.94,0.372194,Profit
2024-12-13,13825.02,0.007511,103.07,3825.02,0.382502,Profit
2024-12-20,13608.64,-0.015651,-216.37,3608.64,0.360864,Loss
2024-12-27,13750.5,0.010424,141.85,3750.5,0.37505,Profit
2025-01-03,13697.38,-0.003863,-53.11,3697.38,0.369738,Loss
2025-01-10,13523.23,-0.012714,-174.15,3523.23,0.352323,Loss
2025-01-17,13914.2,0.028911,390.97,3914.2,0.39142,Profit
