Date,Open,High,Low,Close ,Adj Close ,Volume
12/31/2025,232.91,232.99,230.12,230.82,230.82,"24,383,700"
12/30/2025,231.21,232.77,230.2,232.53,232.53,"21,910,500"
12/29/2025,231.94,232.6,230.77,232.07,232.07,"19,797,900"
12/26/2025,232.04,232.99,231.18,232.52,232.52,"15,994,700"
12/24/2025,232.13,232.95,231.33,232.38,232.38,"11,420,500"
12/23/2025,229.06,232.45,228.73,232.14,232.14,"29,230,200"
12/22/2025,228.61,229.48,226.71,228.43,228.43,"32,261,300"
12/19/2025,226.76,229.13,225.58,227.35,227.35,"85,544,400"
12/18/2025,225.71,229.23,224.41,226.76,226.76,"50,272,400"
12/17/2025,224.66,225.19,220.99,221.27,221.27,"44,034,400"
12/16/2025,223.04,223.66,221.13,222.56,222.56,"39,298,900"
12/15/2025,227.93,227.93,221.5,222.54,222.54,"47,286,100"
12/12/2025,229.87,230.08,225.12,226.19,226.19,"35,639,100"
12/11/2025,230.71,232.11,228.69,230.28,230.28,"28,249,600"
12/10/2025,228.81,232.42,228.46,231.78,231.78,"38,790,700"
12/9/2025,226.84,228.57,225.11,227.92,227.92,"25,841,700"
12/8/2025,229.59,230.83,226.27,226.89,226.89,"35,019,200"
12/5/2025,230.32,231.24,228.55,229.53,229.53,"33,117,400"
12/4/2025,232.77,233.5,226.8,229.11,229.11,"45,683,200"
12/3/2025,233.35,233.38,230.61,232.38,232.38,"35,495,100"
12/2/2025,235.01,238.97,233.55,234.42,234.42,"45,785,400"
12/1/2025,233.22,235.8,232.25,233.88,233.88,"42,904,000"
11/28/2025,231.24,233.29,230.22,233.22,233.22,"20,292,300"
11/26/2025,230.74,231.75,228.77,229.16,229.16,"38,497,900"
11/25/2025,226.38,230.52,223.8,229.67,229.67,"39,379,300"
11/24/2025,222.56,227.33,222.27,226.28,226.28,"54,318,400"
11/21/2025,216.35,222.21,215.18,220.69,220.69,"68,490,500"
11/20/2025,227.05,227.41,216.74,217.14,217.14,"50,309,000"
11/19/2025,223.74,223.74,218.52,222.69,222.69,"58,335,600"
11/18/2025,228.1,230.2,222.42,222.55,222.55,"60,608,400"
11/17/2025,233.25,234.6,229.19,232.87,232.87,"59,919,000"
11/14/2025,235.06,238.73,232.89,234.69,234.69,"38,956,700"
11/13/2025,243.05,243.75,236.5,237.58,237.58,"41,401,700"
11/12/2025,250.24,250.37,243.75,244.2,244.2,"31,190,100"
11/11/2025,248.41,249.75,247.23,249.1,249.1,"23,564,100"
11/10/2025,248.34,251.75,245.59,248.4,248.4,"36,476,500"
11/7/2025,242.9,244.9,238.49,244.41,244.41,"46,374,300"
11/6/2025,249.16,250.38,242.17,243.04,243.04,"46,004,200"
11/5/2025,249.03,251,246.16,250.2,250.2,"40,610,700"
11/4/2025,250.38,257.01,248.66,249.32,249.32,"51,546,300"
11/3/2025,255.36,258.6,252.9,254,254,"95,997,800"
10/31/2025,250.1,250.5,243.98,244.22,244.22,"166,340,800"
10/30/2025,227.06,228.44,222.75,222.86,222.86,"102,252,900"
10/29/2025,231.67,232.82,227.76,230.3,230.3,"52,036,200"
