Date,Stock,Actual 7D Return,Actual Class,Predicted Class,Actual Label,Predicted Label,Prob Down,Prob Neutral,Prob Up,Signal,Ranking Score,Rank,Strategy Return,Portfolio Value,Profit/Loss
2025-01-02,NVDA,-0.047357385583110534,0,2,Down,Up,0.27618897,0.07675946,0.6470516,Buy,0.3708626,1.0,-0.047357385583110534,9526.426144168894,-473.5738558311059
2025-01-03,NVDA,-0.056966844327541954,0,2,Down,Up,0.27561677,0.061141077,0.6632421,Buy,0.38762534,1.0,-0.056966844327541954,8983.735709016199,-1016.2642909838014
2025-01-06,NVDA,-0.10613665261326377,0,2,Down,Up,0.30844328,0.08316073,0.608396,Buy,0.29995272,1.0,-0.10613665261326377,8030.2320728989735,-1969.7679271010265
2025-01-07,NVDA,-0.017339803054088665,0,2,Down,Up,0.3128894,0.0726376,0.614473,Buy,0.3015836,1.0,-0.017339803054088665,7890.989430276279,-2109.0105697237213
2025-01-08,PFE,-0.008190618019359608,1,2,Neutral,Up,0.29477954,0.08372407,0.6214964,Buy,0.32671684,1.0,-0.008190618019359608,7826.3573500580815,-2173.6426499419185
2025-01-10,NVDA,0.0821131631226546,2,2,Up,Up,0.30171177,0.090585716,0.6077025,Buy,0.30599073,1.0,0.0821131631226546,8469.004307799587,-1530.995692200413
2025-01-13,NVDA,0.10500637994445694,2,2,Up,Up,0.28426602,0.07599744,0.63973653,Buy,0.3554705,1.0,0.10500637994445694,9358.303791895632,-641.6962081043675
2025-01-14,PFE,-0.012116622491480489,0,2,Down,Up,0.26076382,0.07901269,0.6602235,Buy,0.39945966,1.0,-0.012116622491480489,9244.912757688642,-755.0872423113578
2025-01-15,PFE,0.02440884820747513,2,2,Up,Up,0.1468313,0.053515915,0.79965276,Buy,0.6528214,1.0,0.02440884820747513,9470.570429882415,-529.4295701175852
2025-01-16,PFE,0.009815024537561445,1,2,Neutral,Up,0.23937225,0.05585179,0.704776,Buy,0.46540374,1.0,0.009815024537561445,9563.524311036415,-436.4756889635846
2025-01-17,PFE,0.012167300380228063,2,2,Up,Up,0.1998152,0.060288575,0.7398963,Buy,0.5400811,1.0,0.012167300380228063,9679.88658402241,-320.1134159775902
2025-01-21,PFE,0.010135135135135087,2,2,Up,Up,0.29541832,0.075114876,0.6294668,Buy,0.33404845,1.0,0.010135135135135087,9777.993542644259,-222.00645735574108
2025-01-22,PFE,0.019607843137254832,2,2,Up,Up,0.13783595,0.077512026,0.784652,Buy,0.646816,1.0,0.019607843137254832,9969.718906225518,-30.281093774481633
2025-01-23,PFE,-0.00907715582450841,1,2,Neutral,Up,0.23372991,0.0886135,0.6776566,Buy,0.4439267,1.0,-0.00907715582450841,9879.222214187163,-120.77778581283746
2025-01-24,PFE,-0.008432349559218011,1,2,Neutral,Up,0.16618644,0.08428913,0.7495244,Buy,0.58333796,1.0,-0.008432349559218011,9795.917159103945,-204.08284089605513
2025-01-27,NVDA,0.05412937003884477,2,2,Up,Up,0.3019969,0.12332285,0.57468027,Buy,0.27268338,1.0,0.05412937003884477,10326.16398387895,326.1639838789506
2025-01-28,NVDA,-0.0024032870765176018,1,2,Neutral,Up,0.18313685,0.034053385,0.7828098,Buy,0.5996729,1.0,-0.0024032870765176018,10301.347247426493,301.3472474264927
2025-01-29,PFE,-0.03305785123966953,0,2,Down,Up,0.19359626,0.09238218,0.71402156,Buy,0.5204253,1.0,-0.03305785123966953,9960.806842552889,-39.193157447110934
2025-01-30,PFE,-0.03864734299516903,0,2,Down,Up,0.3225322,0.079281,0.59818673,Buy,0.27565452,1.0,-0.03864734299516903,9575.84812400012,-424.15187599987985
2025-01-31,PFE,-0.037330316742081426,0,2,Down,Up,0.21078166,0.12580222,0.66341615,Buy,0.45263448,1.0,-0.037330316742081426,9218.37868045713,-781.62131954287
2025-02-03,PFE,-0.02786259541984737,0,2,Down,Up,0.12505718,0.08713321,0.7878096,Buy,0.66275245,1.0,-0.02786259541984737,8961.530724856606,-1038.469275143394
