Date,AAPL,AMZN,GOOGL,MSFT,NVDA
2025-01-03,5,2,3,4,1
2025-01-10,4,3,1,2,5
2025-01-17,5,1,3,2,4
2025-01-24,5,1,4,3,2
2025-01-31,1,3,2,4,5
2025-02-07,3,4,5,2,1
2025-02-14,1,4,3,5,2
2025-02-21,1,5,3,2,4
2025-02-28,1,2,4,3,5
2025-03-07,3,4,1,2,5
2025-03-14,5,2,4,3,1
2025-03-21,1,3,4,2,5
2025-03-28,1,2,4,3,5
2025-04-04,4,3,2,1,5
2025-04-11,5,2,4,3,1
2025-04-18,1,4,2,3,5
2025-04-25,5,1,3,4,2
2025-05-02,5,4,3,1,2
2025-05-09,4,2,5,3,1
2025-05-16,4,3,2,5,1
2025-05-23,5,3,1,2,4
2025-05-30,2,4,5,3,1
2025-06-06,4,2,5,3,1
2025-06-13,5,4,2,1,3
2025-06-20,1,4,5,3,2
2025-06-27,5,3,2,4,1
2025-07-04,1,5,4,3,2
2025-07-11,5,3,4,2,1
2025-07-18,5,4,2,3,1
2025-07-25,3,2,1,4,5
2025-08-01,4,5,3,1,2
2025-08-08,1,4,2,5,3
2025-08-15,3,1,2,4,5
2025-08-22,4,2,1,5,3
2025-08-29,2,3,1,4,5
2025-09-05,2,3,1,4,5
2025-09-12,5,4,3,2,1
2025-09-19,2,4,1,3,5
2025-09-26,1,5,4,3,2
2025-10-03,3,4,5,2,1
2025-10-10,5,2,4,1,3
2025-10-17,2,5,1,3,4
2025-10-24,2,1,3,4,5
2025-10-31,4,1,3,5,2
2025-11-07,2,1,3,4,5
2025-11-14,2,5,4,1,3
2025-11-21,2,4,1,5,3
2025-11-28,4,2,1,3,5
2025-12-05,3,4,2,5,1
2025-12-12,1,3,4,2,5
2025-12-19,5,3,4,2,1
2025-12-26,5,2,3,4,1
2026-01-02,2,4,1,5,3
2026-01-09,5,1,2,3,4
2026-01-16,3,4,2,5,1
2026-01-23,5,3,4,1,2
2026-01-30,1,4,2,5,3
2026-02-06,1,5,3,4,2
2026-02-13,5,4,3,1,2
2026-02-20,3,1,4,5,2
