Date,Rank_AAPL,Rank_AMZN,Rank_GOOGL,Rank_MSFT,Rank_NVDA
2024-03-01,4,3,5,2,1
2024-03-08,4,3,5,2,1
2024-03-15,4,3,5,2,1
2024-03-22,4,3,5,2,1
2024-03-29,4,3,5,2,1
2024-04-05,4,3,5,2,1
2024-04-12,4,3,5,2,1
2024-04-19,4,3,5,2,1
2024-04-26,4,3,5,2,1
2024-05-03,4,3,5,2,1
2024-05-10,4,3,5,2,1
2024-05-17,4,3,5,2,1
2024-05-24,4,3,5,2,1
2024-05-31,4,3,5,2,1
2024-06-07,4,3,5,2,1
2024-06-14,4,3,5,2,1
2024-06-21,4,3,5,2,1
2024-06-28,4,3,5,2,1
2024-07-05,4,3,5,2,1
2024-07-12,4,3,5,2,1
2024-07-19,4,3,5,2,1
2024-07-26,4,3,5,2,1
2024-08-02,4,3,5,2,1
2024-08-09,4,3,5,2,1
2024-08-16,4,3,5,2,1
2024-08-23,4,3,5,2,1
2024-08-30,4,3,5,2,1
2024-09-06,4,3,5,2,1
2024-09-13,4,3,5,2,1
2024-09-20,4,3,5,2,1
2024-09-27,4,3,5,2,1
2024-10-04,4,3,5,2,1
2024-10-11,4,3,5,2,1
2024-10-18,4,3,5,2,1
2024-10-25,4,3,5,2,1
2024-11-01,4,3,5,2,1
2024-11-08,4,3,5,2,1
2024-11-15,4,3,5,2,1
2024-11-22,4,3,5,2,1
2024-11-29,4,3,5,2,1
2024-12-06,4,3,5,2,1
2024-12-13,4,3,5,2,1
2024-12-20,4,3,5,2,1
2024-12-27,4,3,5,2,1
2025-01-03,4,3,5,2,1
2025-01-10,4,3,5,2,1
2025-01-17,4,3,5,2,1
2025-01-24,4,3,5,2,1
2025-01-31,4,3,5,2,1
2025-02-07,4,3,5,2,1
2025-02-14,4,3,5,2,1
2025-02-21,4,3,5,2,1
2025-02-28,4,3,5,2,1
2025-03-07,4,3,5,2,1
2025-03-14,4,3,5,2,1
2025-03-21,4,3,5,2,1
2025-03-28,4,3,5,2,1
2025-04-04,4,3,5,2,1
2025-04-11,4,3,5,2,1
2025-04-18,4,3,5,2,1
2025-04-25,4,3,5,2,1
2025-05-02,4,3,5,2,1
2025-05-09,4,3,5,2,1
2025-05-16,4,3,5,2,1
2025-05-23,4,3,5,2,1
2025-05-30,4,3,5,2,1
2025-06-06,4,3,5,2,1
2025-06-13,4,3,5,2,1
2025-06-20,4,3,5,2,1
2025-06-27,4,3,5,2,1
2025-07-04,4,3,5,2,1
2025-07-11,4,3,5,2,1
2025-07-18,4,3,5,2,1
2025-07-25,4,3,5,2,1
2025-08-01,4,3,5,2,1
2025-08-08,4,3,5,2,1
2025-08-15,4,3,5,2,1
2025-08-22,4,3,5,2,1
2025-08-29,4,3,5,2,1
2025-09-05,4,3,5,2,1
2025-09-12,4,3,5,2,1
2025-09-19,4,3,5,2,1
2025-09-26,4,3,5,2,1
2025-10-03,4,3,5,2,1
2025-10-10,4,3,5,2,1
2025-10-17,4,3,5,2,1
2025-10-24,4,3,5,2,1
2025-10-31,4,3,5,2,1
2025-11-07,4,3,5,2,1
2025-11-14,4,3,5,2,1
2025-11-21,4,3,5,2,1
2025-11-28,4,3,5,2,1
2025-12-05,4,3,5,2,1
2025-12-12,4,3,5,2,1
2025-12-19,4,3,5,2,1
2025-12-26,4,3,5,2,1
2026-01-02,4,3,5,2,1
2026-01-09,4,3,5,2,1
2026-01-16,4,3,5,2,1
2026-01-23,4,3,5,2,1
2026-01-30,4,3,5,2,1
2026-02-06,4,3,5,2,1
2026-02-13,4,3,5,2,1
2026-02-20,4,3,5,2,1
2026-02-27,4,3,5,2,1
