Date,LSTM_Value,XGBoost_Value,EqualWeight_Value
2025-01-03,10091.364376691105,10048.711676509774,9973.711410423119
2025-01-10,9777.265633275723,9743.197873385147,9737.316561024894
2025-01-17,9926.015744191167,9839.47607237018,9855.90041227272
2025-01-24,10194.870021752085,10043.233993861935,10053.599764331686
2025-01-31,9576.932351815169,9475.287572121504,9786.178756831798
2025-02-07,9639.397562282327,9516.310091036,9601.53612632172
2025-02-14,9947.575082340105,9822.216893067627,9866.688051456511
2025-02-21,9710.840246096908,9593.073424434655,9646.718610961867
2025-02-28,9306.944729941271,9156.829296471522,9289.014899540623
2025-03-07,8855.072696041814,8748.819778313255,8993.65531495342
2025-03-14,8915.954903221185,8724.085265537731,8824.477554443816
2025-03-21,8831.43687761228,8663.051765559956,8787.159205867752
2025-03-28,8475.412727437579,8302.584737984573,8473.530776324253
2025-04-04,7586.716327097908,7435.527342342831,7634.899024857036
2025-04-11,8423.85683032613,8238.272204712925,8349.475950237327
2025-04-18,7917.5513057354065,7808.481468099615,7934.361850183237
2025-04-25,8561.886780545201,8421.969074027029,8550.124581750631
2025-05-02,8891.763681483502,8754.077937610406,8792.114435484767
2025-05-09,8912.296174923387,8651.452566245789,8688.25487556533
2025-05-16,9739.598511171782,9478.507604852235,9406.196596966956
2025-05-23,9492.846029593778,9211.627449251762,9173.483383647928
2025-05-30,9728.954662254924,9446.842816408203,9393.36848378635
2025-06-06,10055.83635758492,9732.732736984633,9654.257406389044
2025-06-13,10033.061783422148,9692.425516763706,9603.448954941665
2025-06-20,10060.63392610223,9678.807151337112,9573.112905750413
2025-06-27,10687.066668612657,10234.012466644186,10094.117232477973
2025-07-04,10825.76389513877,10419.29099964479,10263.770574018705
2025-07-11,10987.007204369911,10557.673114235386,10353.458027964296
2025-07-18,11233.09964615969,10799.393229156669,10541.563403797993
2025-07-25,11387.527280234443,10947.42737582641,10738.991995219028
2025-08-01,11193.402648939105,10799.269770581928,10469.799406473907
2025-08-08,11704.827299122322,11387.9751655526,11062.310410710088
2025-08-15,11756.812853238755,11401.880785659712,11158.847003523882
2025-08-22,11592.08015262288,11244.904583715754,11038.809848476561
2025-08-29,11561.20777331615,11246.19801016475,11106.261355184692
2025-09-05,11502.894118350398,11245.783065341275,11298.709573476655
2025-09-12,11798.745984044202,11549.30958784349,11474.983393710145
2025-09-19,11976.635960045296,11775.033460575845,11774.51600455293
2025-09-26,11881.765752617153,11767.590387687706,11666.246559262976
2025-10-03,12142.83272849745,12035.045452985547,11825.84763830945
2025-10-10,11862.802012440361,11713.355242615853,11505.064820427606
2025-10-17,11950.71247221054,11881.745468383948,11710.787866926248
2025-10-24,12288.621705341246,12195.04186690079,12077.161787452374
2025-10-31,12971.520670055614,12810.080650965108,12743.496870248286
2025-11-07,12500.919623940012,12332.6383664929,12422.36906446748
2025-11-14,12545.839298652732,12446.006316348343,12431.945551381445
2025-11-21,11980.827059421781,12013.09611952237,12151.26877419419
2025-11-28,12303.596508878918,12353.602935471506,12598.394191089747
2025-12-05,12343.936424453423,12418.995949919317,12598.164562279186
2025-12-12,12063.927050142658,12103.397904202864,12336.802063541749
2025-12-19,12236.275193503752,12249.48680677053,12413.85565162088
2025-12-26,12547.724991400491,12537.008743702014,12659.205010914357
2026-01-02,12341.660979812275,12364.198632483805,12487.139640332653
2026-01-09,12498.966936911125,12364.20831692928,12700.272897463929
2026-01-16,12302.747506818338,12206.804100667194,12503.019207430827
2026-01-23,12328.221922457133,12200.38756433234,12468.13394955831
2026-01-30,12271.903139853517,12203.819475335391,12516.42089663829
2026-02-06,11699.327092129444,11822.787650427379,12034.491283001666
2026-02-13,11352.697764028904,11363.430491982264,11549.300524769315
2026-02-20,11678.657147093838,11669.207543328643,11892.363828056985
