Stock,Feature,Importance
AAPL,close_lag_1,0.04637739
AAPL,close_lag_7,0.05173103
AAPL,close_lag_30,0.051369242
AAPL,return_1d,0.03411792
AAPL,return_7d,0.040184174
AAPL,return_30d,0.046074256
AAPL,ma_7,0.056031752
AAPL,ma_30,0.063312285
AAPL,ma_200,0.057765637
AAPL,volatility_7,0.04274179
AAPL,volatility_30,0.05351723
AAPL,volume_change_1d,0.03508543
AAPL,volume_ma_7,0.047790222
AAPL,volume_ma_30,0.051812638
AAPL,volume_ratio_30,0.03517309
AAPL,rsi_14,0.054511994
AAPL,sp500_return,0.035213117
AAPL,nasdaq_return,0.03804368
AAPL,weekday,0.026325924
AAPL,month,0.056153335
AAPL,quarter,0.076667875
AMZN,close_lag_1,0.046258874
AMZN,close_lag_7,0.0550393
AMZN,close_lag_30,0.051441316
AMZN,return_1d,0.03555216
AMZN,return_7d,0.04509609
AMZN,return_30d,0.045018323
AMZN,ma_7,0.063401826
AMZN,ma_30,0.05567117
AMZN,ma_200,0.057581034
AMZN,volatility_7,0.052505806
AMZN,volatility_30,0.051969893
AMZN,volume_change_1d,0.034657553
AMZN,volume_ma_7,0.044170484
AMZN,volume_ma_30,0.048141755
AMZN,volume_ratio_30,0.038165785
AMZN,rsi_14,0.047887143
AMZN,sp500_return,0.039159443
AMZN,nasdaq_return,0.041830894
AMZN,weekday,0.035350073
AMZN,month,0.053239904
AMZN,quarter,0.057861067
GOOGL,close_lag_1,0.047584664
GOOGL,close_lag_7,0.05128991
GOOGL,close_lag_30,0.054920934
GOOGL,return_1d,0.03508028
GOOGL,return_7d,0.04520077
GOOGL,return_30d,0.055201665
GOOGL,ma_7,0.059110705
GOOGL,ma_30,0.058318682
GOOGL,ma_200,0.07139685
GOOGL,volatility_7,0.047299
GOOGL,volatility_30,0.048116222
GOOGL,volume_change_1d,0.035054125
GOOGL,volume_ma_7,0.044651482
GOOGL,volume_ma_30,0.051213462
GOOGL,volume_ratio_30,0.039602637
GOOGL,rsi_14,0.04387929
GOOGL,sp500_return,0.042753614
GOOGL,nasdaq_return,0.040274132
GOOGL,weekday,0.02944725
GOOGL,month,0.053700272
GOOGL,quarter,0.04590408
MSFT,close_lag_1,0.054470807
MSFT,close_lag_7,0.050067134
MSFT,close_lag_30,0.05532017
MSFT,return_1d,0.03341404
MSFT,return_7d,0.043600578
MSFT,return_30d,0.04687945
MSFT,ma_7,0.05766404
MSFT,ma_30,0.058089174
MSFT,ma_200,0.07382887
MSFT,volatility_7,0.051442135
MSFT,volatility_30,0.057725262
MSFT,volume_change_1d,0.03270754
MSFT,volume_ma_7,0.05060693
MSFT,volume_ma_30,0.0528678
MSFT,volume_ratio_30,0.040102147
MSFT,rsi_14,0.044175345
MSFT,sp500_return,0.03797167
MSFT,nasdaq_return,0.04034187
MSFT,weekday,0.029006291
MSFT,month,0.047270603
MSFT,quarter,0.042448122
NVDA,close_lag_1,0.04339519
NVDA,close_lag_7,0.045571513
NVDA,close_lag_30,0.04660729
NVDA,return_1d,0.03924095
NVDA,return_7d,0.048991654
NVDA,return_30d,0.05082609
NVDA,ma_7,0.053009998
NVDA,ma_30,0.058110066
NVDA,ma_200,0.06829063
NVDA,volatility_7,0.04923783
NVDA,volatility_30,0.04945939
NVDA,volume_change_1d,0.041612014
NVDA,volume_ma_7,0.043887086
NVDA,volume_ma_30,0.04950413
NVDA,volume_ratio_30,0.040230937
NVDA,rsi_14,0.04731109
NVDA,sp500_return,0.043599874
NVDA,nasdaq_return,0.046270728
NVDA,weekday,0.031135678
NVDA,month,0.0489749
NVDA,quarter,0.054732926
BA,close_lag_1,0.04660516
BA,close_lag_7,0.048237354
BA,close_lag_30,0.04733999
BA,return_1d,0.031434853
BA,return_7d,0.04353711
BA,return_30d,0.055662144
BA,ma_7,0.049062327
BA,ma_30,0.05350991
BA,ma_200,0.05609755
BA,volatility_7,0.043119688
BA,volatility_30,0.07603473
BA,volume_change_1d,0.03824861
BA,volume_ma_7,0.046772376
BA,volume_ma_30,0.058147144
BA,volume_ratio_30,0.03974599
BA,rsi_14,0.04381696
BA,sp500_return,0.036888182
BA,nasdaq_return,0.04138955
BA,weekday,0.03053041
BA,month,0.054775022
BA,quarter,0.0590449
CVX,close_lag_1,0.047517337
CVX,close_lag_7,0.046872973
CVX,close_lag_30,0.051927965
CVX,return_1d,0.03574158
CVX,return_7d,0.040799756
CVX,return_30d,0.052225187
CVX,ma_7,0.057783794
CVX,ma_30,0.059170455
CVX,ma_200,0.057799775
CVX,volatility_7,0.047437456
CVX,volatility_30,0.057614807
CVX,volume_change_1d,0.034884274
CVX,volume_ma_7,0.046357397
CVX,volume_ma_30,0.05544201
CVX,volume_ratio_30,0.043009926
CVX,rsi_14,0.047973964
CVX,sp500_return,0.038598493
CVX,nasdaq_return,0.03641686
CVX,weekday,0.03416335
CVX,month,0.05527221
CVX,quarter,0.05299056
GS,close_lag_1,0.047389872
GS,close_lag_7,0.050140064
GS,close_lag_30,0.046164513
GS,return_1d,0.03683015
GS,return_7d,0.039470896
GS,return_30d,0.050896857
GS,ma_7,0.059215322
GS,ma_30,0.053372663
GS,ma_200,0.06053676
GS,volatility_7,0.052749086
GS,volatility_30,0.051715665
GS,volume_change_1d,0.03403463
GS,volume_ma_7,0.048848588
GS,volume_ma_30,0.058319923
GS,volume_ratio_30,0.03534841
GS,rsi_14,0.053297926
GS,sp500_return,0.034055408
GS,nasdaq_return,0.039846633
GS,weekday,0.03046949
GS,month,0.05529263
GS,quarter,0.062004443
JNJ,close_lag_1,0.054848164
JNJ,close_lag_7,0.0430009
JNJ,close_lag_30,0.057846226
JNJ,return_1d,0.034758877
JNJ,return_7d,0.03943453
JNJ,return_30d,0.0486632
JNJ,ma_7,0.057703033
JNJ,ma_30,0.06169825
JNJ,ma_200,0.05845639
JNJ,volatility_7,0.04724245
JNJ,volatility_30,0.05240034
JNJ,volume_change_1d,0.031035649
JNJ,volume_ma_7,0.05200055
JNJ,volume_ma_30,0.051617946
JNJ,volume_ratio_30,0.03619826
JNJ,rsi_14,0.04585592
JNJ,sp500_return,0.032062735
JNJ,nasdaq_return,0.034117874
JNJ,weekday,0.027949866
JNJ,month,0.06085217
JNJ,quarter,0.072256595
JPM,close_lag_1,0.04847565
JPM,close_lag_7,0.049048584
JPM,close_lag_30,0.042257488
JPM,return_1d,0.035858106
JPM,return_7d,0.04619852
JPM,return_30d,0.044395823
JPM,ma_7,0.050005976
JPM,ma_30,0.05648332
JPM,ma_200,0.05964204
JPM,volatility_7,0.04524972
JPM,volatility_30,0.051630624
JPM,volume_change_1d,0.03402022
JPM,volume_ma_7,0.04853273
JPM,volume_ma_30,0.050025348
JPM,volume_ratio_30,0.042711657
JPM,rsi_14,0.05419487
JPM,sp500_return,0.04096667
JPM,nasdaq_return,0.044564478
JPM,weekday,0.031443477
JPM,month,0.055636883
JPM,quarter,0.06865782
META,close_lag_1,0.046374958
META,close_lag_7,0.047564093
META,close_lag_30,0.04558551
META,return_1d,0.034472648
META,return_7d,0.052707713
META,return_30d,0.047258265
META,ma_7,0.053693403
META,ma_30,0.05483626
META,ma_200,0.061133772
META,volatility_7,0.057797942
META,volatility_30,0.058021482
META,volume_change_1d,0.036721885
META,volume_ma_7,0.0423251
META,volume_ma_30,0.055602185
META,volume_ratio_30,0.04022133
META,rsi_14,0.047957767
META,sp500_return,0.03434962
META,nasdaq_return,0.038384918
META,weekday,0.028101245
META,month,0.05841105
META,quarter,0.058478784
PFE,close_lag_1,0.048144255
PFE,close_lag_7,0.052942004
PFE,close_lag_30,0.05135002
PFE,return_1d,0.033080045
PFE,return_7d,0.041781243
PFE,return_30d,0.04529895
PFE,ma_7,0.059729274
PFE,ma_30,0.05947103
PFE,ma_200,0.061337918
PFE,volatility_7,0.051109407
PFE,volatility_30,0.06714405
PFE,volume_change_1d,0.032834787
PFE,volume_ma_7,0.042642
PFE,volume_ma_30,0.049096968
PFE,volume_ratio_30,0.03729824
PFE,rsi_14,0.03973196
PFE,sp500_return,0.03617772
PFE,nasdaq_return,0.03372413
PFE,weekday,0.025775596
PFE,month,0.05852602
PFE,quarter,0.072804324
TSLA,close_lag_1,0.040296324
TSLA,close_lag_7,0.052271675
TSLA,close_lag_30,0.04271226
TSLA,return_1d,0.040602766
TSLA,return_7d,0.04092943
TSLA,return_30d,0.04383596
TSLA,ma_7,0.046853695
TSLA,ma_30,0.06949685
TSLA,ma_200,0.049768746
TSLA,volatility_7,0.04536027
TSLA,volatility_30,0.04438024
TSLA,volume_change_1d,0.043626804
TSLA,volume_ma_7,0.04339488
TSLA,volume_ma_30,0.05553508
TSLA,volume_ratio_30,0.046282794
TSLA,rsi_14,0.044373214
TSLA,sp500_return,0.04099735
TSLA,nasdaq_return,0.050761115
TSLA,weekday,0.04022905
TSLA,month,0.049211625
TSLA,quarter,0.06907982
WMT,close_lag_1,0.050648894
WMT,close_lag_7,0.04797858
WMT,close_lag_30,0.059840363
WMT,return_1d,0.036347087
WMT,return_7d,0.044789422
WMT,return_30d,0.05171555
WMT,ma_7,0.053715337
WMT,ma_30,0.06915237
WMT,ma_200,0.06835722
WMT,volatility_7,0.04899725
WMT,volatility_30,0.05531049
WMT,volume_change_1d,0.034190737
WMT,volume_ma_7,0.047620833
WMT,volume_ma_30,0.053188726
WMT,volume_ratio_30,0.03719898
WMT,rsi_14,0.044269767
WMT,sp500_return,0.034060348
WMT,nasdaq_return,0.03431673
WMT,weekday,0.02796094
WMT,month,0.05977615
WMT,quarter,0.040564276
XOM,close_lag_1,0.045379665
XOM,close_lag_7,0.046843074
XOM,close_lag_30,0.05209141
XOM,return_1d,0.03511837
XOM,return_7d,0.042989444
XOM,return_30d,0.05129296
XOM,ma_7,0.048157983
XOM,ma_30,0.05832299
XOM,ma_200,0.061319884
XOM,volatility_7,0.04832013
XOM,volatility_30,0.05969978
XOM,volume_change_1d,0.036507588
XOM,volume_ma_7,0.061012756
XOM,volume_ma_30,0.061640367
XOM,volume_ratio_30,0.037587456
XOM,rsi_14,0.04802762
XOM,sp500_return,0.03695888
XOM,nasdaq_return,0.03738592
XOM,weekday,0.026519075
XOM,month,0.05286085
XOM,quarter,0.051963724
