Date,Stock,Actual Return,Predicted Return,Actual Direction,Predicted Direction,Signal,Rank,Portfolio Value,Profit/Loss
2025-01-02,NVDA,-0.047357385583110534,0.11369519,0,1,Buy,1.0,9526.426144168894,-473.5738558311059
2025-01-03,NVDA,-0.056966844327541954,0.08685277,0,1,Buy,1.0,8983.735709016199,-1016.2642909838014
2025-01-06,NVDA,-0.10613665261326377,0.10032946,0,1,Buy,1.0,8030.2320728989735,-1969.7679271010265
2025-01-07,NVDA,-0.017339803054088665,0.097577274,0,1,Buy,1.0,7890.989430276279,-2109.0105697237213
2025-01-08,NVDA,0.005138819498964997,0.117069885,1,1,Buy,1.0,7931.539800626709,-2068.4601993732913
2025-01-10,NVDA,0.0821131631226546,0.12977043,1,1,Buy,1.0,8582.823622089398,-1417.1763779106022
2025-01-13,NVDA,0.10500637994445694,0.1183164,1,1,Buy,1.0,9484.074860346776,-515.9251396532236
2025-01-14,NVDA,0.08242258652094736,0.11813832,1,1,Buy,1.0,10265.77684109485,265.77684109485017
2025-01-15,NVDA,-0.13079859072225486,0.12053187,0,1,Buy,1.0,8923.027697610483,-1076.9723023895167
2025-01-16,NVDA,-0.03428913678221146,0.10338687,0,1,Buy,1.0,8617.064780375656,-1382.9352196243435
2025-01-17,NVDA,-0.10173553118873002,0.11577232,0,1,Buy,1.0,7740.403117656442,-2259.596882343558
2025-01-21,NVDA,-0.114890293261379,0.09267802,0,1,Buy,1.0,6851.105933507602,-3148.8940664923985
2025-01-22,NVDA,-0.18358604746039298,0.103396736,0,1,Buy,1.0,5593.338474442495,-4406.661525557505
2025-01-23,NVDA,-0.20758049178100801,0.10177679,0,1,Buy,1.0,4432.270523220089,-5567.729476779911
2025-01-24,NVDA,-0.16806899453092128,0.11788388,0,1,Buy,1.0,3687.343272893448,-6312.656727106552
2025-01-27,NVDA,0.05412937003884477,0.09815101,1,1,Buy,1.0,3886.9368413721427,-6113.063158627858
2025-01-28,NVDA,-0.0024032870765176018,0.119918056,0,1,Buy,1.0,3877.595416294033,-6122.4045837059675
2025-01-29,NVDA,0.04963621665319318,0.10061328,1,1,Buy,1.0,4070.0645824706326,-5929.935417529367
2025-01-30,NVDA,0.0715603690332931,0.09368072,1,1,Buy,1.0,4361.319905981567,-5638.680094018433
2025-01-31,NVDA,0.1060214874656451,0.09849777,1,1,Buy,1.0,4823.71352972726,-5176.28647027274
2025-02-03,NVDA,0.1241213783644779,0.055147547,1,1,Buy,1.0,5422.439501872388,-4577.560498127612
2025-02-04,NVDA,0.1402444163506109,0.044206005,1,1,Buy,1.0,6182.906365008978,-3817.0936349910216
2025-02-05,NVDA,0.11231274533365365,0.065520406,1,1,Buy,1.0,6877.325553004058,-3122.674446995942
2025-02-06,NVDA,0.08330742928193957,0.07935991,1,1,Buy,1.0,7450.25786515982,-2549.7421348401804
2025-02-07,NVDA,0.07231977818853963,0.094540246,1,1,Buy,1.0,7989.0588614156,-2010.9411385843996
2025-02-10,NVDA,0.048963090514337226,0.066754624,1,1,Buy,1.0,8380.22787357146,-1619.7721264285392
2025-02-11,NVDA,0.01227409638554211,0.07166414,1,1,Buy,1.0,8483.087598224483,-1516.9124017755166
2025-02-12,NVDA,-0.006557877077931873,0.07088667,0,1,Buy,1.0,8427.456552513999,-1572.5434474860012
2025-02-13,NVDA,-0.06401064380220267,0.06625962,0,1,Buy,1.0,7888.0096329724865,-2111.9903670275135
2025-02-14,PFE,0.034860947904426176,0.039441496,1,1,Buy,1.0,8162.993125857152,-1837.0068741428477
2025-02-18,NVDA,-0.1380918220946915,0.053865466,0,1,Buy,1.0,7035.750531361096,-2964.2494686389036
2025-02-19,NVDA,-0.10277957336780863,0.052233476,0,1,Buy,1.0,6312.61909342547,-3687.38090657453
2025-02-20,NVDA,-0.18592534437227903,0.08257113,0,1,Buy,1.0,5138.943214589316,-4861.056785410684
2025-02-21,NVDA,-0.13717176225544903,0.046214182,0,1,Buy,1.0,4434.025317713417,-5565.974682286583
2025-02-24,NVDA,-0.09963156278784158,0.06043457,0,1,Buy,1.0,3992.256445868774,-6007.743554131226
2025-02-25,NVDA,-0.12682618652767907,0.06251566,0,1,Buy,1.0,3485.9337851986916,-6514.066214801309
2025-02-26,NVDA,-0.14160572821450335,0.06403286,0,1,Buy,1.0,2992.3055930380906,-7007.694406961909
2025-02-27,NVDA,-0.10961298377028716,0.08881597,0,1,Buy,1.0,2664.310048632667,-7335.6899513673325
2025-02-28,NVDA,-0.12936279218699964,0.08896538,0,1,Buy,1.0,2319.6474614896642,-7680.352538510336
2025-03-03,NVDA,0.014729089952656427,0.1010828,1,1,Buy,1.0,2353.813757608397,-7646.186242391603
2025-03-04,NVDA,-0.0035347874816794578,0.10099022,0,1,Buy,1.0,2345.493526203798,-7654.506473796202
2025-03-05,NVDA,0.0372549019607844,0.07997239,1,1,Buy,1.0,2432.874657572175,-7567.125342427826
2025-03-06,NVDA,0.08103463869042238,0.10292545,1,1,Buy,1.0,2630.021776427621,-7369.97822357238
2025-03-07,NVDA,0.024314491081728784,0.09016057,1,1,Buy,1.0,2693.969417455323,-7306.030582544678
2025-03-10,NVDA,0.09852308842774349,0.09200634,1,1,Buy,1.0,2959.38760459291,-7040.61239540709
2025-03-11,TSLA,0.024633532830254046,0.09855307,1,1,Buy,1.0,3032.2877763080965,-6967.712223691904
2025-03-12,NVDA,0.01693450838085364,0.05689873,1,1,Buy,1.0,3083.638079069146,-6916.3619209308545
2025-03-13,NVDA,0.050441252811905146,0.09628208,1,1,Buy,1.0,3239.18064699589,-6760.81935300411
2025-03-14,TSLA,0.15265221217697422,0.058495156,1,1,Buy,1.0,3733.6487384006555,-6266.351261599344
2025-03-17,TSLA,0.14306121591529775,0.077509806,1,1,Buy,1.0,4267.78906671687,-5732.21093328313
