Date,AAPL,AMZN,GOOGL,MSFT,NVDA
2025-01-03,3,5,4,2,1
2025-01-10,3,5,4,2,1
2025-01-17,3,5,4,2,1
2025-01-24,3,5,4,2,1
2025-01-31,3,5,4,2,1
2025-02-07,3,5,4,2,1
2025-02-14,4,5,3,2,1
2025-02-21,5,4,3,2,1
2025-02-28,4,5,3,2,1
2025-03-07,3,4,5,2,1
2025-03-14,3,5,4,2,1
2025-03-21,3,5,4,2,1
2025-03-28,4,5,3,1,2
2025-04-04,3,5,4,2,1
2025-04-11,3,4,2,5,1
2025-04-18,3,5,2,4,1
2025-04-25,4,5,3,2,1
2025-05-02,4,5,3,2,1
2025-05-09,4,5,2,3,1
2025-05-16,4,5,3,2,1
2025-05-23,3,5,4,2,1
2025-05-30,3,5,4,2,1
2025-06-06,3,5,4,2,1
2025-06-13,3,5,4,2,1
2025-06-20,4,5,3,2,1
2025-06-27,3,5,4,2,1
2025-07-04,3,5,4,2,1
2025-07-11,3,5,4,2,1
2025-07-18,3,5,4,2,1
2025-07-25,3,5,4,2,1
2025-08-01,3,5,4,2,1
2025-08-08,3,5,4,2,1
2025-08-15,3,5,4,2,1
2025-08-22,3,5,4,2,1
2025-08-29,3,5,4,2,1
2025-09-05,3,5,4,2,1
2025-09-12,3,5,4,2,1
2025-09-19,3,5,4,2,1
2025-09-26,3,4,5,2,1
2025-10-03,3,5,4,2,1
2025-10-10,3,5,4,2,1
2025-10-17,3,5,4,2,1
2025-10-24,3,5,4,2,1
2025-10-31,3,5,4,2,1
2025-11-07,3,5,4,2,1
2025-11-14,3,5,4,2,1
2025-11-21,3,5,4,2,1
2025-11-28,4,5,3,2,1
2025-12-05,3,5,4,2,1
2025-12-12,4,5,3,2,1
2025-12-19,3,5,4,2,1
2025-12-26,3,5,4,2,1
2026-01-02,3,5,4,2,1
2026-01-09,3,5,4,2,1
2026-01-16,3,5,4,2,1
2026-01-23,3,5,4,2,1
2026-01-30,3,5,4,2,1
2026-02-06,3,4,5,2,1
2026-02-13,3,2,5,4,1
2026-02-20,3,4,5,2,1
