Stock,Rows Used,Train Rows,Validation Rows,Test Rows,MAE,RMSE,Directional Accuracy,Precision,Recall,F1 Score
NVDA,2599,2065,252,282,0.08672376964522123,0.10478368454968974,0.5921985815602837,0.5921985815602837,1.0,0.7438752783964365
PFE,2599,2065,252,282,0.047332706419278614,0.05805048211061782,0.5035460992907801,0.5036496350364964,0.971830985915493,0.6634615384615384
CVX,2599,2065,252,282,0.032364117032534445,0.04513923025162042,0.574468085106383,0.674074074074074,0.5449101796407185,0.6026490066225165
MSFT,2599,2065,252,282,0.03344551722600009,0.04633523910591317,0.46808510638297873,0.48554913294797686,0.5793103448275863,0.5283018867924528
JNJ,2599,2065,252,282,0.0314651889672166,0.04111388631511906,0.4858156028368794,0.7475728155339806,0.39285714285714285,0.5150501672240803
XOM,2599,2065,252,282,0.04121602786287917,0.05113515602006867,0.4787234042553192,0.6276595744680851,0.34502923976608185,0.44528301886792454
BA,2599,2065,252,282,0.052859390763765696,0.06762116019974565,0.4716312056737589,0.5833333333333334,0.3393939393939394,0.42911877394636017
AAPL,2599,2065,252,282,0.055397257261298134,0.06717348905533531,0.5177304964539007,0.9411764705882353,0.10596026490066225,0.19047619047619047
TSLA,2599,2065,252,282,0.0876708273076993,0.10888183560203045,0.4858156028368794,0.5,0.11724137931034483,0.18994413407821228
GOOGL,2599,2065,252,282,0.06691877720971431,0.07952535639881912,0.3829787234042553,0.6666666666666666,0.022727272727272728,0.04395604395604396
GS,2599,2065,252,282,0.06781951141713935,0.07962974397132565,0.38652482269503546,1.0,0.017045454545454544,0.0335195530726257
AMZN,2599,2065,252,282,0.08160404700434491,0.09446302360623877,0.4787234042553192,1.0,0.013422818791946308,0.026490066225165563
JPM,2599,2065,252,282,0.07873936333067919,0.09065628760982382,0.3723404255319149,0.0,0.0,0.0
META,2599,2065,252,282,0.07695156524744083,0.09206691716614217,0.5035460992907801,0.0,0.0,0.0
WMT,2599,2065,252,282,0.0648775537179523,0.07783436214914859,0.3971631205673759,0.0,0.0,0.0
